variant,trial,profile,group_size,base_records,prefix_bytes,queries,rounds,operation,ns_per_operation,digest_bytes,encoding_digest,checksum
candidate,2,byte_fixed,7,4096,0,4096,3,build_base,179792.000,69157,2366567768067080201,10891408377234565797
candidate,2,byte_fixed,7,4096,0,4096,3,build_pipeline,364416.667,69157,2366567768067080201,10891408377234565797
candidate,2,byte_fixed,7,4096,0,4096,3,search_window,677.453,69157,2366567768067080201,10891408377234565797
candidate,2,bit_fixed,31,4096,0,4096,3,build_base,275444.000,23895,13496294193513833151,16766508778720483772
candidate,2,bit_fixed,31,4096,0,4096,3,build_pipeline,381097.000,23895,13496294193513833151,16766508778720483772
candidate,2,bit_fixed,31,4096,0,4096,3,search_window,2085.086,23895,13496294193513833151,16766508778720483772
candidate,3,byte_variable,15,4096,0,4096,3,build_base,214792.000,117756,13548080211769040896,1266540658023773504
candidate,3,byte_variable,15,4096,0,4096,3,build_pipeline,260985.667,117756,13548080211769040896,1266540658023773504
candidate,3,byte_variable,15,4096,0,4096,3,search_window,888.306,117756,13548080211769040896,1266540658023773504
candidate,3,bit_variable,15,4096,0,4096,3,build_base,356236.000,33284,12340914183703058563,3913898930545937452
candidate,3,bit_variable,15,4096,0,4096,3,build_pipeline,519444.333,33284,12340914183703058563,3913898930545937452
candidate,3,bit_variable,15,4096,0,4096,3,search_window,1712.738,33284,12340914183703058563,3913898930545937452
candidate,3,byte_fixed,7,4096,0,4096,3,build_base,183263.333,69157,2366567768067080201,10891408377234565797
candidate,3,byte_fixed,7,4096,0,4096,3,build_pipeline,386361.000,69157,2366567768067080201,10891408377234565797
candidate,3,byte_fixed,7,4096,0,4096,3,search_window,662.859,69157,2366567768067080201,10891408377234565797
candidate,3,bit_fixed,31,4096,0,4096,3,build_base,283958.333,23895,13496294193513833151,16766508778720483772
candidate,3,bit_fixed,31,4096,0,4096,3,build_pipeline,408777.667,23895,13496294193513833151,16766508778720483772
candidate,3,bit_fixed,31,4096,0,4096,3,search_window,2055.461,23895,13496294193513833151,16766508778720483772
baseline,3,byte_variable,15,4096,0,4096,3,build_base,282833.333,117756,13548080211769040896,1266540658023773504
baseline,3,byte_variable,15,4096,0,4096,3,build_pipeline,288625.333,117756,13548080211769040896,1266540658023773504
baseline,3,byte_variable,15,4096,0,4096,3,search_window,855.764,117756,13548080211769040896,1266540658023773504
baseline,3,bit_variable,15,4096,0,4096,3,build_base,784736.333,33284,12340914183703058563,3913898930545937452
baseline,3,bit_variable,15,4096,0,4096,3,build_pipeline,709208.333,33284,12340914183703058563,3913898930545937452
baseline,3,bit_variable,15,4096,0,4096,3,search_window,2397.719,33284,12340914183703058563,3913898930545937452
baseline,3,byte_fixed,7,4096,0,4096,3,build_base,267167.000,69157,2366567768067080201,10891408377234565797
baseline,3,byte_fixed,7,4096,0,4096,3,build_pipeline,391153.000,69157,2366567768067080201,10891408377234565797
baseline,3,byte_fixed,7,4096,0,4096,3,search_window,656.030,69157,2366567768067080201,10891408377234565797
baseline,3,bit_fixed,31,4096,0,4096,3,build_base,531819.333,23895,13496294193513833151,16766508778720483772
baseline,3,bit_fixed,31,4096,0,4096,3,build_pipeline,458931.000,23895,13496294193513833151,16766508778720483772
baseline,3,bit_fixed,31,4096,0,4096,3,search_window,2772.007,23895,13496294193513833151,16766508778720483772
baseline,4,byte_variable,15,4096,0,4096,3,build_base,292069.667,117756,13548080211769040896,1266540658023773504
baseline,4,byte_variable,15,4096,0,4096,3,build_pipeline,274152.667,117756,13548080211769040896,1266540658023773504
baseline,4,byte_variable,15,4096,0,4096,3,search_window,871.392,117756,13548080211769040896,1266540658023773504
baseline,4,bit_variable,15,4096,0,4096,3,build_base,823375.333,33284,12340914183703058563,3913898930545937452
baseline,4,bit_variable,15,4096,0,4096,3,build_pipeline,709944.333,33284,12340914183703058563,3913898930545937452
baseline,4,bit_variable,15,4096,0,4096,3,search_window,2405.436,33284,12340914183703058563,3913898930545937452
baseline,4,byte_fixed,7,4096,0,4096,3,build_base,254236.333,69157,2366567768067080201,10891408377234565797
baseline,4,byte_fixed,7,4096,0,4096,3,build_pipeline,395486.000,69157,2366567768067080201,10891408377234565797
baseline,4,byte_fixed,7,4096,0,4096,3,search_window,643.582,69157,2366567768067080201,10891408377234565797
baseline,4,bit_fixed,31,4096,0,4096,3,build_base,517444.667,23895,13496294193513833151,16766508778720483772
baseline,4,bit_fixed,31,4096,0,4096,3,build_pipeline,464027.667,23895,13496294193513833151,16766508778720483772
baseline,4,bit_fixed,31,4096,0,4096,3,search_window,2773.743,23895,13496294193513833151,16766508778720483772
candidate,4,byte_variable,15,4096,0,4096,3,build_base,219486.000,117756,13548080211769040896,1266540658023773504
candidate,4,byte_variable,15,4096,0,4096,3,build_pipeline,262041.667,117756,13548080211769040896,1266540658023773504
candidate,4,byte_variable,15,4096,0,4096,3,search_window,904.575,117756,13548080211769040896,1266540658023773504
candidate,4,bit_variable,15,4096,0,4096,3,build_base,336722.333,33284,12340914183703058563,3913898930545937452
candidate,4,bit_variable,15,4096,0,4096,3,build_pipeline,491764.000,33284,12340914183703058563,3913898930545937452
candidate,4,bit_variable,15,4096,0,4096,3,search_window,1715.281,33284,12340914183703058563,3913898930545937452
candidate,4,byte_fixed,7,4096,0,4096,3,build_base,171791.667,69157,2366567768067080201,10891408377234565797
candidate,4,byte_fixed,7,4096,0,4096,3,build_pipeline,377389.000,69157,2366567768067080201,10891408377234565797
candidate,4,byte_fixed,7,4096,0,4096,3,search_window,681.522,69157,2366567768067080201,10891408377234565797
candidate,4,bit_fixed,31,4096,0,4096,3,build_base,266444.667,23895,13496294193513833151,16766508778720483772
candidate,4,bit_fixed,31,4096,0,4096,3,build_pipeline,378611.000,23895,13496294193513833151,16766508778720483772
candidate,4,bit_fixed,31,4096,0,4096,3,search_window,2089.644,23895,13496294193513833151,16766508778720483772
