compiler,cpu,pattern,variant,trial,queries,ns_per_rank,checksum
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,1,1048576,6.576730,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,1,1048576,15.086973,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,2,1048576,8.995309,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,2,1048576,15.083798,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,2,1048576,8.078467,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,2,1048576,15.251900,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,2,1048576,6.523539,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,2,1048576,15.044268,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,2,1048576,15.617658,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,3,1048576,14.997327,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,3,1048576,8.024832,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,3,1048576,15.045320,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,3,1048576,6.480663,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,3,1048576,15.166054,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,3,1048576,15.213562,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,3,1048576,9.010925,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512bw,4,1048576,8.038702,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_vpopcnt,4,1048576,14.947083,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx512vpopcntdq,4,1048576,6.574525,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_popcnt,4,1048576,15.707350,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx2,4,1048576,15.232953,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,avx2,4,1048576,9.116000,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,independent,scalar_auto_avx512bw,4,1048576,493.412787,66754679920
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,0,1048576,20.160644,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,0,1048576,19.434037,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,0,1048576,17.870260,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,0,1048576,21.320335,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,0,1048576,18.310533,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,0,1048576,19.961075,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,0,1048576,18.303952,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,1,1048576,31.758570,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,1,1048576,18.284684,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,1,1048576,20.051241,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,1,1048576,18.079452,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,1,1048576,19.952779,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,1,1048576,15.512640,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,1,1048576,19.971215,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,2,1048576,17.783547,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,2,1048576,20.537581,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,2,1048576,18.063144,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,2,1048576,19.886209,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,2,1048576,14.437805,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,2,1048576,473.077045,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,2,1048576,19.656178,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,3,1048576,19.947520,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,3,1048576,17.783284,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,3,1048576,19.429260,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,3,1048576,15.119857,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,3,1048576,20.075469,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,3,1048576,19.392358,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,3,1048576,17.885956,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512bw,4,1048576,17.890606,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_vpopcnt,4,1048576,20.618946,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx512vpopcntdq,4,1048576,14.899385,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_popcnt,4,1048576,19.490343,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx2,4,1048576,19.440766,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,avx2,4,1048576,17.754527,66642894088
gcc,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,dependent,scalar_auto_avx512bw,4,1048576,20.114317,66642894088
