variant,trial,profile,group_size,base_records,prefix_bytes,head_entries,prefix_catalogs,queries,prepare_ns,query_ns,visited_catalogs,matches,checksum,codec_block_size,native_payload_bytes,borrowed_payload_bytes,offset_array_bytes,rank_array_bytes,cut_lcp_array_bytes,false_borrow_bytes,total_array_bytes
baseline,0,bit,15,4096,64,87,1,4096,29000.000,4692.749,20480,2796,331823824949766785,15,54313,1491,856,280,3128,50,60118
baseline,0,byte,15,65536,64,1390,2,4096,171833.000,3840.505,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
baseline,0,bit,15,65536,64,1390,2,4096,199750.000,5622.864,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
outlined,0,byte,15,65536,64,1390,2,4096,110583.000,3376.455,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
outlined,0,bit,15,65536,64,1390,2,4096,164750.000,5131.388,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
fail_stop,0,byte,15,65536,64,1390,2,4096,101542.000,3230.530,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
fail_stop,0,bit,15,65536,64,1390,2,4096,169458.000,5085.622,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
baseline,0,byte,15,65536,64,1390,2,4096,122583.000,3820.058,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
baseline,0,bit,15,65536,64,1390,2,4096,193333.000,5664.418,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
fail_stop,0,byte,15,65536,64,1390,2,4096,102917.000,3236.928,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
fail_stop,0,bit,15,65536,64,1390,2,4096,159375.000,5138.082,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
outlined,0,byte,15,65536,64,1390,2,4096,121000.000,3249.461,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
outlined,0,bit,15,65536,64,1390,2,4096,162875.000,5129.506,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
fail_stop,0,byte,15,65536,64,1390,2,4096,95958.000,3236.989,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
fail_stop,0,bit,15,65536,64,1390,2,4096,157417.000,5166.067,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
baseline,0,byte,15,65536,64,1390,2,4096,112958.000,3785.329,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
baseline,0,bit,15,65536,64,1390,2,4096,170959.000,5646.780,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
outlined,0,byte,15,65536,64,1390,2,4096,112750.000,3226.705,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
outlined,0,bit,15,65536,64,1390,2,4096,164000.000,5123.759,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
fail_stop,0,byte,15,65536,64,1390,2,4096,103042.000,3259.013,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
fail_stop,0,bit,15,65536,64,1390,2,4096,160792.000,5182.526,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
outlined,0,byte,15,65536,64,1390,2,4096,104625.000,3433.126,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
outlined,0,bit,15,65536,64,1390,2,4096,176500.000,5191.925,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
baseline,0,byte,15,65536,64,1390,2,4096,121292.000,3802.663,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
baseline,0,bit,15,65536,64,1390,2,4096,202833.000,5791.463,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
outlined,0,byte,15,65536,64,1390,2,4096,120375.000,3412.852,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
outlined,0,bit,15,65536,64,1390,2,4096,162417.000,5117.523,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
fail_stop,0,byte,15,65536,64,1390,2,4096,110667.000,3301.778,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
fail_stop,0,bit,15,65536,64,1390,2,4096,168250.000,5347.463,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
baseline,0,byte,15,65536,64,1390,2,4096,109334.000,3769.002,24576,2810,17916971327959202543,15,1017774,21957,7856,3552,49768,779,1101686
baseline,0,bit,15,65536,64,1390,2,4096,178834.000,5710.582,24576,2810,17916971327959202543,15,987547,19696,10128,3552,49768,779,1071470
