variant,revision,trial,profile,fixture,records,prefix_bytes,round,operation,total_ns,record_ns,source_entries,work,checksum
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,interleaved,4096,0,2,sample,449208.000,36.557,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,interleaved,4096,0,2,pipeline,803625.000,65.399,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,0,sample,813750.000,66.223,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,0,pipeline,1260667.000,102.593,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,1,sample,823875.000,67.047,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,1,pipeline,1261000.000,102.620,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,2,sample,908666.000,73.947,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,interleaved,4096,0,2,pipeline,1265042.000,102.949,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,0,sample,678583.000,36.562,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,0,pipeline,1108042.000,59.701,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,1,sample,671167.000,36.162,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,1,pipeline,1109625.000,59.786,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,2,sample,673708.000,36.299,18560,18557,8476562761733985929
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,byte,duplicates,4096,0,2,pipeline,1232917.000,66.429,18560,4188,14205456126107407234
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,0,sample,1119709.000,60.329,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,0,pipeline,1711250.000,92.201,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,1,sample,1126334.000,60.686,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,1,pipeline,1745125.000,94.026,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,2,sample,1182917.000,63.735,18560,18557,17887957781260477778
baseline,98f96161d2f67726864e205bc7599fff891c33dc,1,bit,duplicates,4096,0,2,pipeline,1726208.000,93.007,18560,4188,12370292114216348944
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,0,sample,447667.000,36.431,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,0,pipeline,752625.000,61.249,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,1,sample,581125.000,47.292,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,1,pipeline,886333.000,72.130,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,2,sample,464166.000,37.774,12288,12287,1831843142036873085
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,byte,interleaved,4096,0,2,pipeline,775958.000,63.148,12288,3291,7010700040678070324
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,0,sample,863083.000,70.238,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,0,pipeline,1288292.000,104.841,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,1,sample,811333.000,66.026,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,1,pipeline,1264125.000,102.875,12288,3291,10764992291889574130
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,2,sample,813083.000,66.169,12288,12287,12193008009033903249
baseline,98f96161d2f67726864e205bc7599fff891c33dc,2,bit,interleaved,4096,0,2,pipeline,1368291.000,111.352,12288,3291,10764992291889574130
