comparison,baseline_revision,candidate_revision,profile,records,prefix_bytes,observations_per_variant,baseline_min_ns,baseline_median_ns,baseline_max_ns,candidate_min_ns,candidate_median_ns,candidate_max_ns,change_percent
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,byte_variable,16384,4096,15,449.43,459.366,487.94,109.037,113.52,124.42,-75.287679
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_fixed,16384,4096,15,521.299,529.348,545.107,155.708,166.295,173.889,-68.584938
integrated_final,e45e47f14b45a2f9726d23c80d1d19b33de7745a,4429df0a8507705a9c4ccc0f6366344cf543f396,bit_variable,16384,4096,15,561.722,567.505,587.725,200.427,209.307,218.931,-63.118034
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_fixed,16384,0,15,105.174,109.764,115.794,83.155,86.995,93.641,-20.743595
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_variable,16384,0,15,129.448,132.858,137.436,108.098,112.567,116.969,-15.272697
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,0,15,186.473,192.37,198.659,155.37,161.682,170.049,-15.952591
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,0,15,224.159,231.12,241.631,200.678,209.19,218.264,-9.488577
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_fixed,16384,64,15,105.011,108.101,112.699,83.967,87.298,99.195,-19.244040
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_variable,16384,64,15,129.651,134.387,145.996,108.869,112.851,128.471,-16.025360
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,64,15,186.017,195.19,203.766,151.988,161.725,173.345,-17.144833
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,64,15,226.023,233.172,242.228,202.662,210.464,224.139,-9.738734
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_fixed,16384,4096,15,107.17,110.326,116.651,84.078,86.848,94.803,-21.280568
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,byte_variable,16384,4096,15,130.313,137.535,400.558,108.599,115.262,126.584,-16.194423
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_fixed,16384,4096,15,187.909,196.617,332.926,159.981,166.265,172.773,-15.437119
wider_integration,32923e761b45442b9e4e5f7893fe1bbda0e74fdb,819578c53e67c839eab3bc285f0dca2217262fbb,bit_variable,16384,4096,15,225.637,234.032,245.522,200.991,211.817,222.768,-9.492292
