case,trial,older,newer,output_records,input_a_bytes,input_b_bytes,output_bytes,common_value_bytes,cpu_width_pass,cpu_ms,gpu_complete_ms,gpu_device_ms,parse_ms,order_ms,size_ms,emit_ms,assembly_ms,process
fixed-32768,2,32768,32768,54712,658304,658304,1098640,17,0,3.2364999999999999,3.4442910000000002,1.6130416770465672,0.763625,1.5089170000000001,0.31737500000000002,0.39141700000000001,0.42320800000000003,1
fixed-32768,3,32768,32768,54712,658304,658304,1098640,17,0,3.0797080000000001,3.150709,1.607833371963352,0.76624999999999999,1.270667,0.30299999999999999,0.38479200000000002,0.38475000000000004,1
fixed-32768,4,32768,32768,54712,658304,658304,1098640,17,0,3.0099580000000001,3.2999580000000002,1.6171666793525219,0.746834,1.3250420000000001,0.32224999999999998,0.46795799999999999,0.39916600000000002,1
variable-32768,-1,32768,32768,54712,7815552,7816512,13050112,0,0,8.7595829999999992,8.5459589999999999,2.9910000739619136,3.132959,1.2956669999999999,0.45616600000000002,2.084959,1.489792,1
variable-32768,0,32768,32768,54712,7815552,7816512,13050112,0,0,6.999708,7.2397919999999996,3.0997917056083679,1.2114579999999999,2.0270000000000001,0.390625,2.1823329999999999,1.3010410000000001,1
variable-32768,1,32768,32768,54712,7815552,7816512,13050112,0,0,7.416042,6.3655419999999996,3.1836666748858988,1.1121669999999999,1.428291,0.363458,2.0660419999999999,1.3065419999999999,1
variable-32768,2,32768,32768,54712,7815552,7816512,13050112,0,0,7.2006670000000002,6.4582499999999996,3.0253749573603272,1.1842919999999999,1.2784580000000001,0.51212500000000005,2.0896249999999998,1.3049580000000001,1
variable-32768,3,32768,32768,54712,7815552,7816512,13050112,0,0,7.2742909999999998,6.5832920000000001,3.0040833516977727,1.194291,1.4215,0.41462500000000002,2.1867079999999999,1.286375,1
variable-32768,4,32768,32768,54712,7815552,7816512,13050112,0,0,7.4411250000000004,7.0369169999999999,2.9870417201891541,1.6375409999999999,1.3294170000000001,0.37716699999999997,2.1752500000000001,1.3902079999999999,1
fixed-131072,-1,131072,131072,218881,2632416,2632416,4394392,17,0,12.284458000000001,6.8961249999999996,2.6651666266843677,1.8157920000000001,2.1745410000000001,0.67958300000000005,1.0239590000000001,1.136625,1
fixed-131072,0,131072,131072,218881,2632416,2632416,4394392,17,0,11.896083000000001,5.9338749999999996,2.6180416462011635,1.349375,1.889,0.72224999999999995,0.969167,0.95329099999999989,1
fixed-131072,1,131072,131072,218881,2632416,2632416,4394392,17,0,12.699332999999999,6.016,2.8333333902992308,1.7464999999999999,1.924083,0.56987500000000002,1.0180830000000001,0.69495799999999996,1
fixed-131072,2,131072,131072,218881,2632416,2632416,4394392,17,0,11.644333,5.5612500000000002,2.6453334139660001,1.026292,1.798416,0.70916599999999996,1.0050829999999999,0.97137499999999999,1
