trial,variant,operation,bits,source_offset,iterations,ns,checksum,encoding
1,baseline,order_and_lcp_early,512,0,32768,2.95514,32768,0
1,baseline,copy_to_aligned,512,0,16384,2.64227,2040894,7487872683394423460
1,baseline,copy_to_shifted,512,0,16384,954.252,2151827,5695700198866017487
1,baseline,front_order_and_lcp,512,0,16384,41.4098,1046528,0
1,baseline,order_and_lcp,513,3,16352,967.048,8384488,0
1,baseline,order_and_lcp_early,513,3,32768,3.42432,32768,0
1,baseline,copy_to_aligned,513,3,16352,1003.56,2033532,13549540094830414013
1,baseline,copy_to_shifted,513,3,16352,983.447,2025212,1277971867292287276
1,baseline,order_and_lcp,32768,0,512,4659.67,16777216,0
1,baseline,order_and_lcp_early,32768,0,32768,3.09753,32768,0
1,baseline,copy_to_aligned,32768,0,512,51.3496,65095,15697443229824947228
1,baseline,copy_to_shifted,32768,0,512,105005,70873,1340222264216771497
1,baseline,front_order_and_lcp,32768,0,512,2783.61,2097152,0
1,baseline,order_and_lcp,32769,3,512,62964.4,16777728,0
1,baseline,order_and_lcp_early,32769,3,32768,3.45102,32768,0
1,baseline,copy_to_aligned,32769,3,512,108772,64572,810501865908961312
1,baseline,copy_to_shifted,32769,3,512,99465.9,64487,17401643773666152548
1,baseline,read_count,4,0,932067,12.1732,6495309,14010549057497394684
1,baseline,write_count,4,0,932067,23.6625,5250149,498868200249582186
1,baseline,read_count,4,3,932067,12.3517,6495309,10667692899381957720
1,baseline,write_count,4,3,932067,23.837,5250152,14011927138326259588
1,baseline,read_count,32,0,129055,117.014,292137550098970,15992147686396580461
1,baseline,write_count,32,0,129055,271.332,7873361,17611553731688309647
1,baseline,read_count,32,3,129055,117.953,292137550098970,9259898799459493243
1,baseline,write_count,32,3,129055,270.573,7873364,12531968474777650863
1,baseline,read_count,64,0,65027,249.099,12932659232303659454,13903021642346100837
1,baseline,write_count,64,0,65027,555.042,8142099,14472678928554734552
1,baseline,read_count,64,3,65027,251.707,12932659232303659454,17979108500666303179
1,baseline,write_count,64,3,65027,558.076,8142102,11837154818368746539
1,baseline,byte_profile_build,64,0,85,59724.5,748425,11286371320756095183
1,baseline,byte_profile_reconstruct,64,0,87381,1406.79,11160646,11286371320756095183
1,baseline,bit_profile_build,64,0,85,148525,610810,10385998864525922025
1,baseline,bit_profile_reconstruct,64,0,87381,4548.16,5586176,10385998864525922025
1,baseline,byte_profile_build,1024,0,7,214458,62748,11996937336128258274
1,baseline,byte_profile_reconstruct,1024,0,7943,12859.5,1012034,11996937336128258274
1,baseline,bit_profile_build,1024,0,7,314899,51303,8959399144852600447
1,baseline,bit_profile_reconstruct,1024,0,7943,46639.9,514304,8959399144852600447
2,baseline,order_and_lcp,64,0,131072,15.1927,8339456,0
2,baseline,order_and_lcp_early,64,0,131072,3.08037,131072,0
2,baseline,copy_to_aligned,64,0,131072,2.76121,14951330,10612444265752500643
2,baseline,copy_to_shifted,64,0,131072,86.4283,18885030,16857641075921078406
2,baseline,front_order_and_lcp,64,0,131072,6.43889,999424,0
2,baseline,order_and_lcp,65,3,129055,120.969,8388576,0
2,baseline,order_and_lcp_early,65,3,129055,3.66446,129056,0
2,baseline,copy_to_aligned,65,3,129055,84.8705,15298147,1059025378906581750
2,baseline,copy_to_shifted,65,3,129055,85.3089,15909312,14652123482455320431
2,baseline,order_and_lcp,512,0,16384,71.4874,8386560,0
2,baseline,order_and_lcp_early,512,0,32768,3.38998,32768,0
2,baseline,copy_to_aligned,512,0,16384,3.38239,2040894,7487872683394423460
