profile,records,key_bytes,access,variant,process,minimum_ns,median_ns,maximum_ns,max_min_ratio,status
typed-byte,524288,16,random,base,1,3832.197,3856.705,4523.891,1.1804954181635232,diagnostic_high_variability
typed-byte,524288,16,random,direct32,0,4338.273,4405.162,4923.581,1.134917281600305,diagnostic_high_variability
typed-byte,524288,16,random,direct32,1,6103.06,6208.188,6685.266,1.0953957522947504,diagnostic_high_variability
typed-byte,524288,16,random,direct64,0,3611.296,3943.884,4325.802,1.1978530699228198,diagnostic_high_variability
typed-byte,524288,16,random,direct64,1,3798.139,3858.974,4287.182,1.128758584138179,diagnostic_high_variability
typed-byte,524288,16,random,packed,0,5334.245,6546.717,8210.122,1.5391347791486891,diagnostic_high_variability
typed-byte,524288,16,random,packed,1,3634.942,3664.904,4966.756,1.3663920909879719,diagnostic_high_variability
typed-byte,524288,16,random,sub32,0,4152.679,4925.56,4994.202,1.2026458100903057,diagnostic_high_variability
typed-byte,524288,16,random,sub32,1,3917.505,4050.607,4240.516,1.082453245113918,diagnostic_high_variability
typed-byte,524288,16,sorted,base,0,3645.786,3852.822,4956.716,1.3595740397269616,diagnostic_high_variability
typed-byte,524288,16,sorted,base,1,5538.11,6286.386,6513.066,1.176044896182994,diagnostic_high_variability
typed-byte,524288,16,sorted,direct32,0,2966.979,3029.549,3254.612,1.096944737391131,diagnostic_high_variability
typed-byte,524288,16,sorted,direct32,1,4392.706,4824.647,5144.732,1.1711988009213454,diagnostic_high_variability
typed-byte,524288,16,sorted,direct64,0,3359.941,6139.432,7311.024,2.1759382084387795,diagnostic_high_variability
typed-byte,524288,16,sorted,direct64,1,2869.589,2913.408,3162.556,1.1020937144657301,diagnostic_high_variability
typed-byte,524288,16,sorted,packed,0,5040.904,5901.435,6021.505,1.1945287988027544,diagnostic_high_variability
typed-byte,524288,16,sorted,packed,1,4046.42,4727.705,8501.52,2.100997919148284,diagnostic_high_variability
typed-byte,524288,16,sorted,sub32,0,3910.355,4010.715,4539.284,1.160836803819602,diagnostic_high_variability
typed-byte,524288,16,sorted,sub32,1,3245.455,3285.174,3305.12,1.018384171094654,diagnostic_high_variability
typed-byte,8192,16,random,base,0,2682.866,2694.58,2738.286,1.0206570138053859,retained_small_size_panel
typed-byte,8192,16,random,base,1,2634.852,2650.269,2692.688,1.0219503789966193,retained_small_size_panel
typed-byte,8192,16,random,direct32,0,2473.134,2482.666,2482.864,1.0039342793394939,retained_small_size_panel
typed-byte,8192,16,random,direct32,1,2505.524,2517.929,2574.524,1.0275391494952753,retained_small_size_panel
typed-byte,8192,16,random,direct64,0,2458.567,2528.773,2569.168,1.044985961334387,retained_small_size_panel
typed-byte,8192,16,random,direct64,1,2438.227,2520.676,2538.427,1.0410954353306727,retained_small_size_panel
typed-byte,8192,16,random,packed,0,2528.453,2534.536,2606.298,1.030787600165002,retained_small_size_panel
typed-byte,8192,16,random,packed,1,2522.903,2542.038,2544.708,1.0086428213847303,retained_small_size_panel
typed-byte,8192,16,random,sub32,0,2715.327,2737.691,2761.648,1.0170590871743992,retained_small_size_panel
typed-byte,8192,16,random,sub32,1,2730.565,2764.694,2779.46,1.0179065504758174,retained_small_size_panel
typed-byte,8192,16,sorted,base,0,2478.063,2492.854,2509.145,1.0125428610975589,retained_small_size_panel
typed-byte,8192,16,sorted,base,1,2433.492,2464.62,2473.643,1.0164993351118474,retained_small_size_panel
typed-byte,8192,16,sorted,direct32,0,2265.269,2333.527,2408.0,1.063008410921617,retained_small_size_panel
typed-byte,8192,16,sorted,direct32,1,2230.199,2325.79,2332.377,1.0458156424606055,retained_small_size_panel
typed-byte,8192,16,sorted,direct64,0,2270.06,2294.596,2316.335,1.020384923746509,retained_small_size_panel
typed-byte,8192,16,sorted,direct64,1,2278.997,2294.942,2374.125,1.041741169470605,retained_small_size_panel
typed-byte,8192,16,sorted,packed,0,2337.88,2339.498,2351.308,1.0057436652009513,retained_small_size_panel
typed-byte,8192,16,sorted,packed,1,2302.76,2341.171,2345.439,1.0185338463409124,retained_small_size_panel
typed-byte,8192,16,sorted,sub32,0,2559.255,2584.422,2642.599,1.0325657271354358,retained_small_size_panel
typed-byte,8192,16,sorted,sub32,1,2569.107,2593.531,2624.7,1.0216390364434023,retained_small_size_panel
