case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
tiny-16384-0,fv,4,16384,16384,0,32768,98301,639256,0,1.24913,1.32567,0.508375,0.335417,0.608042,0.621458,5,1.21554,1.32958,1.25829,3.84046,0.494916,0.47925,0.532625
tiny-16384-50,fv,4,16384,16384,8192,24576,73726,479512,0,0.904417,1.30183,0.44375,0.316583,0.622125,0.679417,5,0.853375,0.954208,1.0305,1.58892,0.344542,0.337708,0.368208
tiny-32768-0,fv,4,32768,32768,0,65536,196610,1278248,0,2.55987,1.75854,0.629042,0.589792,0.688708,0.470917,5,2.26392,2.64133,1.40367,4.07079,0.910083,0.904625,1.01729
tiny-32768-50,fv,4,32768,32768,16384,49152,147459,958760,0,1.64521,1.46138,0.485,0.598083,0.566333,0.593333,5,1.62067,1.75792,1.35583,2.67608,0.713416,0.6695,0.754875
tiny-65536-0,fv,4,65536,65536,0,131072,393217,2556200,0,4.88471,1.68671,0.727542,1.18729,0.810292,0.598291,5,4.79783,5.17713,1.59137,2.00137,1.87433,1.81325,1.96583
tiny-65536-50,fv,4,65536,65536,32768,98304,294911,1917208,0,3.42204,1.56754,0.6465,1.17788,0.8395,0.846709,5,3.255,3.59633,1.50104,4.354,1.33829,1.32296,1.43842
tiny-131072-0,fv,4,131072,131072,0,262144,786429,5112088,0,9.33979,2.197,1.12421,2.34325,1.04879,1.08821,5,9.19183,9.36613,1.98554,4.18358,3.67521,3.63729,3.79958
tiny-131072-50,fv,4,131072,131072,65536,196608,589822,3834136,0,6.89329,2.14825,0.915708,2.43458,1.30879,0.909458,5,6.75904,7.09829,1.77558,2.26767,2.9035,2.71004,3.05837
tiny-262144-0,fv,4,262144,262144,0,524288,1572866,10223912,0,19.2072,3.32171,2.00208,4.95858,1.8115,1.0785,5,19.0158,19.4446,2.94079,6.13133,7.54467,7.43383,7.69071
tiny-262144-50,fv,4,262144,262144,131072,393216,1179651,7668008,0,13.3212,2.45817,1.33617,4.81896,1.80983,1.0195,5,13.2853,13.5364,2.38567,2.83613,5.67108,5.52675,5.76421
large-4096-0,fv,4,4096,4096,0,8192,25162252,25307944,0,1.32296,2.25,1.27092,3.12208,4.13092,0.8565,5,1.24517,1.79975,2.12146,5.07692,0.998,0.974084,1.08992
large-4096-50,fv,4,4096,4096,2048,6144,18871733,18981072,0,0.875666,1.714,0.880542,2.02621,3.66004,0.685208,5,0.8485,0.902667,1.68667,3.77888,0.750458,0.684166,1.02508
large-16384-0,fv,4,16384,16384,0,32768,100654144,101236056,0,5.21629,3.87042,2.56971,6.41113,13.2662,0.984958,5,5.04913,5.27971,3.37583,4.01237,4.26992,4.18888,4.38117
large-16384-50,fv,4,16384,16384,8192,24576,75491426,75927936,0,3.83042,3.29879,1.85504,7.40596,11.6958,1.03087,5,3.481,4.4395,2.81263,5.17042,2.94133,2.86037,3.75125
large-32768-0,fv,4,32768,32768,0,65536,201321984,202485528,0,10.3697,6.15475,4.77996,27.2685,28.7918,1.12067,5,10.2155,10.448,5.83913,7.66442,8.80008,8.23379,9.29963
large-32768-50,fv,4,32768,32768,16384,49152,150994836,151867568,0,7.37038,4.60037,3.37342,27.4448,39.8538,0.956666,5,7.028,7.50367,4.57217,7.46429,6.05983,5.84192,6.56725
word-balanced-262144-0,fv,1,262144,262144,0,524288,134217273,143294296,0,37.2488,7.89446,6.74462,12.0079,18.9946,2.08429,5,36.9661,37.8028,6.18846,12.6062,14.2249,13.9979,14.2829
word-balanced-262144-50,fv,1,262144,262144,131072,393216,100663550,107471392,0,23.296,7.68483,6.13488,12.6675,23.2721,1.82812,5,23.1508,23.6607,7.31408,10.6391,9.80358,9.57371,9.84546
