case,logical_bits,groups,pattern,operation,variant,data_bytes,metadata_bytes,total_bytes,capacity_bytes,data_mod64,metadata_mod64,query_bytes,queries,trials,median_ns,min_ns,max_ns,checksum
large_full96MiB,780902400,52060160,random,pair_two_ranks,rank15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,98.877,89.144,149.864,409513733471115
large_full96MiB,780902400,52060160,random,pair_two_ranks,rank_groups15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,168.470,150.438,238.646,409513733471115
large_full96MiB,780902400,52060160,random,pair_two_ranks,rank15_candidate,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,71.209,40.494,81.492,409513733471115
large_full96MiB,780902400,52060160,random,pair_two_ranks,rank15_simd,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,35.064,29.501,69.455,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,bitmap_rank,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,38.802,35.967,38.911,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,poppy512_neon_cpu,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,25.872,23.693,26.216,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,rank15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,52.685,48.906,63.233,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,rank_groups15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,114.117,104.969,128.603,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,rank15_candidate,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,30.408,27.580,34.135,409513733471115
large_full96MiB,780902400,52060160,random,pair_rank_plus_class,rank15_simd,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,24.674,21.928,27.147,409513733471115
large_full96MiB,780902400,52060160,random_dependent,rank,bitmap_rank,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,286.890,150.485,314.094,204892917332647
large_full96MiB,780902400,52060160,random_dependent,rank,poppy512_neon_cpu,97612800,3050408,100663208,100663208,0,0,8388608,1048576,5,214.396,170.665,302.246,204892917332647
large_full96MiB,780902400,52060160,random_dependent,rank,rank15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,130.272,113.555,199.155,204892917332647
large_full96MiB,780902400,52060160,random_dependent,rank,rank_groups15_baseline,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,151.220,134.127,206.031,204892917332647
large_full96MiB,780902400,52060160,random_dependent,rank,rank15_candidate,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,147.446,101.367,157.480,204892917332647
large_full96MiB,780902400,52060160,random_dependent,rank,rank15_simd,26030080,3253760,29283840,29283840,0,0,8388608,1048576,5,137.298,102.283,171.042,204892917332647
large_packed96MiB,2684353920,178956928,random,rank,bitmap_rank,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,39.272,33.530,77.190,704752738608628
large_packed96MiB,2684353920,178956928,random,rank,poppy512_neon_cpu,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,27.145,24.768,57.111,704752738608628
large_packed96MiB,2684353920,178956928,random,rank,rank15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,69.568,66.500,133.792,704752738608628
large_packed96MiB,2684353920,178956928,random,rank,rank_groups15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,142.390,137.054,164.770,704752738608628
large_packed96MiB,2684353920,178956928,random,rank,rank15_candidate,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,37.291,34.743,40.111,704752738608628
large_packed96MiB,2684353920,178956928,random,rank,rank15_simd,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,27.174,26.726,38.231,704752738608628
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,bitmap_rank,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,63.107,57.276,93.666,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,poppy512_neon_cpu,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,44.717,40.182,45.850,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,rank15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,122.555,114.413,136.015,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,rank_groups15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,208.618,190.551,231.786,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,rank15_candidate,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,70.403,60.834,83.198,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_two_ranks,rank15_simd,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,54.687,48.164,97.580,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,bitmap_rank,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,42.920,42.173,49.182,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,poppy512_neon_cpu,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,31.723,27.936,36.287,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,rank15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,90.129,72.227,99.303,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,rank_groups15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,164.304,154.853,209.720,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,rank15_candidate,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,44.245,43.195,54.626,1409505485081129
large_packed96MiB,2684353920,178956928,random,pair_rank_plus_class,rank15_simd,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,35.057,32.516,41.797,1409505485081129
large_packed96MiB,2684353920,178956928,random_dependent,rank,bitmap_rank,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,223.048,146.319,313.036,704448875379875
large_packed96MiB,2684353920,178956928,random_dependent,rank,poppy512_neon_cpu,335544256,10485768,346030024,346030024,0,0,8388608,1048576,5,167.843,156.076,251.630,704448875379875
large_packed96MiB,2684353920,178956928,random_dependent,rank,rank15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,224.869,143.636,323.075,704448875379875
large_packed96MiB,2684353920,178956928,random_dependent,rank,rank_groups15_baseline,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,180.892,159.874,232.631,704448875379875
large_packed96MiB,2684353920,178956928,random_dependent,rank,rank15_candidate,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,212.099,155.122,314.043,704448875379875
large_packed96MiB,2684353920,178956928,random_dependent,rank,rank15_simd,89478464,11184808,100663272,100663272,0,0,8388608,1048576,5,201.521,134.779,322.577,704448875379875
