mode,fixture,logical_records,file,records,file_bytes,data_bytes,data_bits,key_literal_bits,encoded_value_bits,framing_bits,ef_low_bytes,ef_high_bytes,ef_sample_bytes,ef_sparse_bytes,rank_bytes,flag_bytes,cut_bytes,sort_metadata_bytes,header_directory_bytes,alignment_bytes,universe,offset_count,common_value_bits,suffix_length_bytes,suffix_zero_bytes,suffix_nul_safe_bytes
typed-byte-known,integer-ordered-variable,131072,native-2.kv,65536,17273560,17265417,138123336,528448,135625032,1969856,6016,1608,288,0,0,0,0,0,224,7,17265417,4371,0,65536,9,197137
typed-byte-known,integer-ordered-variable,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
typed-byte-known,integer-ordered-variable,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,integer-ordered-variable,131072,route-1.index,4370,57480,13630,109040,39120,0,69920,184,104,48,0,2800,547,39616,0,544,7,13630,294,0,4370,9,13639
typed-byte-known,integer-ordered-variable,131072,route-2.index,4661,21856,15023,120184,45608,0,74576,208,104,32,0,368,584,4976,0,544,17,15023,314,0,4661,53,15076
typed-byte-known,integer-ordered-variable,131072,route-3.index,311,2288,1252,10016,5040,0,4976,16,16,32,0,48,39,336,0,544,5,1252,23,0,311,11,1263
typed-byte-known,integer-ordered-variable,131072,route-4.index,21,768,92,736,400,0,336,8,16,32,0,32,3,32,0,544,9,92,4,0,21,9,101
typed-byte-known,integer-ordered-variable,131072,route-5.index,2,672,16,128,96,0,32,8,16,32,0,32,1,16,0,544,7,16,3,0,2,9,25
typed-byte-known,integer-random-fixed,131072,native-0.kv,32768,558944,556087,4448696,1827256,2097152,524288,1920,568,144,0,0,0,0,0,224,1,293943,2186,64,32768,952,294895
typed-byte-known,integer-random-fixed,131072,native-1.kv,32768,558904,556042,4448336,1826896,2097152,524288,1920,568,144,0,0,0,0,0,224,6,293898,2186,64,32768,878,294776
typed-byte-known,integer-random-fixed,131072,native-2.kv,65536,1097408,1091953,8735624,3492744,4194304,1048576,3832,1104,288,0,0,0,0,0,224,7,567665,4371,64,65536,1771,569436
typed-byte-known,integer-random-fixed,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,64,0,0,0
typed-byte-known,integer-random-fixed,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,integer-random-fixed,131072,route-1.index,4370,83504,39587,316696,246776,0,69920,264,88,48,0,2800,547,39616,0,544,10,39587,294,0,4370,109,39696
typed-byte-known,integer-random-fixed,131072,route-2.index,4661,49360,42463,339704,265128,0,74576,288,88,32,0,368,584,4976,0,544,17,42463,314,0,4661,155,42618
typed-byte-known,integer-random-fixed,131072,route-3.index,311,4096,3056,24448,19472,0,4976,24,16,32,0,48,39,336,0,544,1,3056,23,0,311,9,3065
typed-byte-known,integer-random-fixed,131072,route-4.index,21,888,211,1688,1352,0,336,8,16,32,0,32,3,32,0,544,10,211,4,0,21,3,214
typed-byte-known,integer-random-fixed,131072,route-5.index,2,680,21,168,136,0,32,8,16,32,0,32,1,16,0,544,10,21,3,0,2,3,24
typed-byte-known,integer-random-variable,131072,native-0.kv,32768,8841408,8837216,70697728,1827256,67885936,984536,3008,816,144,0,0,0,0,0,224,0,8837216,2186,0,32768,952,294895
typed-byte-known,integer-random-variable,131072,native-1.kv,32768,8797600,8793402,70347216,1826896,67536344,983976,3008,816,144,0,0,0,0,0,224,6,8793402,2186,0,32768,878,294776
typed-byte-known,integer-random-variable,131072,native-2.kv,65536,17633256,17625101,141000808,3492744,135538608,1969456,6016,1624,288,0,0,0,0,0,224,3,17625101,4371,0,65536,1771,569436
typed-byte-known,integer-random-variable,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
typed-byte-known,integer-random-variable,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,integer-random-variable,131072,route-1.index,4370,83504,39587,316696,246776,0,69920,264,88,48,0,2800,547,39616,0,544,10,39587,294,0,4370,109,39696
typed-byte-known,integer-random-variable,131072,route-2.index,4661,49360,42463,339704,265128,0,74576,288,88,32,0,368,584,4976,0,544,17,42463,314,0,4661,155,42618
typed-byte-known,integer-random-variable,131072,route-3.index,311,4096,3056,24448,19472,0,4976,24,16,32,0,48,39,336,0,544,1,3056,23,0,311,9,3065
typed-byte-known,integer-random-variable,131072,route-4.index,21,888,211,1688,1352,0,336,8,16,32,0,32,3,32,0,544,10,211,4,0,21,3,214
typed-byte-known,integer-random-variable,131072,route-5.index,2,680,21,168,136,0,32,8,16,32,0,32,1,16,0,544,10,21,3,0,2,3,24
typed-byte-known,string-structured-fixed,131072,native-0.kv,32768,869432,866562,6932496,1951760,4456448,524288,1920,576,144,0,0,0,0,0,224,6,309506,2186,136,32768,1,309507
typed-byte-known,string-structured-fixed,131072,native-1.kv,32768,869432,866562,6932496,1951760,4456448,524288,1920,576,144,0,0,0,0,0,224,6,309506,2186,136,32768,1,309507
typed-byte-known,string-structured-fixed,131072,native-2.kv,65536,1724024,1718531,13748248,3786776,8912896,1048576,3832,1144,288,0,0,0,0,0,224,5,604419,4371,136,65536,1,604420
typed-byte-known,string-structured-fixed,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,136,0,0,0
typed-byte-known,string-structured-fixed,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,string-structured-fixed,131072,route-1.index,4370,89112,45187,361496,291576,0,69920,264,96,48,0,2800,547,39616,0,544,10,45187,294,0,4370,1,45188
typed-byte-known,string-structured-fixed,131072,route-2.index,4661,56488,49584,396672,322096,0,74576,288,96,32,0,368,584,4976,0,544,16,49584,314,0,4661,2,49586
typed-byte-known,string-structured-fixed,131072,route-3.index,311,4640,3596,28768,23792,0,4976,24,16,32,0,48,39,336,0,544,5,3596,23,0,311,1,3597
typed-byte-known,string-structured-fixed,131072,route-4.index,21,968,295,2360,2024,0,336,8,16,32,0,32,3,32,0,544,6,295,4,0,21,1,296
typed-byte-known,string-structured-fixed,131072,route-5.index,2,712,55,440,408,0,32,8,16,32,0,32,1,16,0,544,8,55,3,0,2,1,56
typed-byte-known,string-structured-variable,131072,native-0.kv,32768,8769568,8765369,70122952,1951760,67187808,983384,3008,816,144,0,0,0,0,0,224,7,8765369,2186,0,32768,1,309507
typed-byte-known,string-structured-variable,131072,native-1.kv,32768,8793200,8789003,70312024,1951760,67376632,983632,3008,816,144,0,0,0,0,0,224,5,8789003,2186,0,32768,1,309507
typed-byte-known,string-structured-variable,131072,native-2.kv,65536,17584104,17575950,140607600,3786776,134851744,1969080,6016,1624,288,0,0,0,0,0,224,2,17575950,4371,0,65536,1,604420
typed-byte-known,string-structured-variable,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,0,0,0,0
typed-byte-known,string-structured-variable,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,string-structured-variable,131072,route-1.index,4370,89112,45187,361496,291576,0,69920,264,96,48,0,2800,547,39616,0,544,10,45187,294,0,4370,1,45188
typed-byte-known,string-structured-variable,131072,route-2.index,4661,56488,49584,396672,322096,0,74576,288,96,32,0,368,584,4976,0,544,16,49584,314,0,4661,2,49586
typed-byte-known,string-structured-variable,131072,route-3.index,311,4640,3596,28768,23792,0,4976,24,16,32,0,48,39,336,0,544,5,3596,23,0,311,1,3597
typed-byte-known,string-structured-variable,131072,route-4.index,21,968,295,2360,2024,0,336,8,16,32,0,32,3,32,0,544,6,295,4,0,21,1,296
typed-byte-known,string-structured-variable,131072,route-5.index,2,712,55,440,408,0,32,8,16,32,0,32,1,16,0,544,8,55,3,0,2,1,56
typed-byte-known,string-binary-fixed,131072,native-0.kv,32768,1116256,1113143,8905144,3924408,4456448,524288,1920,824,144,0,0,0,0,0,224,1,556087,2186,136,32768,1939,558026
typed-byte-known,string-binary-fixed,131072,native-1.kv,32768,1116216,1113098,8904784,3924048,4456448,524288,1920,824,144,0,0,0,0,0,224,6,556042,2186,136,32768,1931,557973
typed-byte-known,string-binary-fixed,131072,native-2.kv,65536,2212032,2206065,17648520,7687048,8912896,1048576,3832,1616,288,0,0,0,0,0,224,7,1091953,4371,136,65536,3845,1095798
typed-byte-known,string-binary-fixed,131072,native-3.kv,0,248,0,0,0,0,0,0,8,16,0,0,0,0,0,224,0,0,1,136,0,0,0
typed-byte-known,string-binary-fixed,131072,route-0.index,0,75456,0,0,0,0,0,0,16,32,0,4944,0,69920,0,544,0,0,2,0,0,0,0
typed-byte-known,string-binary-fixed,131072,route-1.index,4370,118496,74547,596376,526456,0,69920,264,120,48,0,2800,547,39616,0,544,10,74547,294,0,4370,252,74799
typed-byte-known,string-binary-fixed,131072,route-2.index,4661,86680,79751,638008,563432,0,74576,288,120,32,0,368,584,4976,0,544,17,79751,314,0,4661,303,80054
typed-byte-known,string-binary-fixed,131072,route-3.index,311,6592,5544,44352,39376,0,4976,24,24,32,0,48,39,336,0,544,1,5544,23,0,311,16,5560
typed-byte-known,string-binary-fixed,131072,route-4.index,21,1056,379,3032,2696,0,336,8,16,32,0,32,3,32,0,544,10,379,4,0,21,3,382
typed-byte-known,string-binary-fixed,131072,route-5.index,2,696,37,296,264,0,32,8,16,32,0,32,1,16,0,544,10,37,3,0,2,3,40
