mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
tiled,2,cutover,34,heldout,2048,1,64,25,32,0,2,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.880708,1.164708,3.724834,1.28045823658,0.977375,0.032292,0.814084,0.220459,1.377792,0.302459,3571,1069310,134416,2890404737
levelwise,2,cutover,34,heldout,2048,1,64,25,32,0,0,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.887875,1.131292,3.464125,1.68720824877,1.357958,0.038375,1.349,0.212375,0.224542,0.281667,3571,1069310,134416,2890404737
levelwise,2,cutover,34,heldout,2048,1,64,25,32,0,1,0,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.878083,1.064208,2.821959,1.38529163087,1.06175,0.027,1.086917,0.208416,0.209625,0.227917,3571,1069310,134416,2890404737
levelwise,2,cutover,34,heldout,2048,1,64,25,32,0,2,1,2048,2048,619720,620019,78048,78080,-1,-1,577,577,0.907875,1.106541,2.599959,1.31966662593,0.595084,0.031,1.098542,0.215375,0.233833,0.425833,3571,1069310,134416,2890404737
tiled,1,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.534125,1.755542,8.598791,6.52729178546,1.2885,0.026167,6.186,0.523541,0.263958,0.310291,6142,757836,95744,2590442344
tiled,1,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.710375,2.096917,6.024709,3.9817916695,1.2115,0.026125,2.945292,0.308334,0.246208,1.287041,6142,757836,95744,2590442344
tiled,1,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.598,1.857375,3.792458,2.50225007767,0.556958,0.031833,2.429916,0.232959,0.281583,0.258999,6142,757836,95744,2590442344
levelwise,1,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.502709,1.734084,6.935958,4.88554162439,1.068041,0.02725,4.543458,0.348292,0.596666,0.351542,6142,757836,95744,2590442344
levelwise,1,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.619125,2.0625,6.804667,5.44529163744,1.203458,0.032208,4.82275,0.2635,0.221167,0.261251,6142,757836,95744,2590442344
levelwise,1,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.610875,1.889708,9.396208,6.2014166615,2.101791,0.028833,4.828958,0.300291,0.575917,1.560042,6142,757836,95744,2590442344
