phase,profile,distribution,records,key_bytes,query_kind,access,variant,processes,baseline_ns,query_ns,speedup,baseline_min_ns,baseline_max_ns,candidate_min_ns,candidate_max_ns,process_ranges,baseline_file_bytes,file_bytes,file_growth_percent,offset_bytes,offset_file_percent,offset_auxiliary_bytes,preparation_ns
size-panel,typed-byte,structured,32768,16,hit,sorted,direct32,2,2823.1385,2558.9045,1.1032605945239458,2807.311,2838.966,2555.257,2562.552,faster,1694672,1702456,0.45932192188222754,12656,0.7433965987960922,0,20561360.0
size-panel,typed-byte,structured,32768,16,hit,sorted,direct64,2,2823.1385,2576.4245,1.0957582882789696,2807.311,2838.966,2548.906,2603.943,faster,1694672,1715024,1.200940358960323,25224,1.4707665898553024,0,20439180.0
size-panel,typed-byte,structured,32768,16,hit,sorted,packed,2,2823.1385,2600.3715,1.085667374834711,2807.311,2838.966,2600.081,2600.662,faster,1694672,1697616,0.17372093242822295,7816,0.46041036371004984,0,21514000.0
size-panel,typed-byte,structured,32768,16,hit,sorted,sub32,2,2823.1385,2839.9085,0.9940948801695547,2807.311,2838.966,2819.589,2860.228,overlap,1694672,1695120,0.0264357940651605,5320,0.3138420878757846,896,21092295.0
size-panel,typed-byte,structured,8192,16,hit,random,base,2,2672.4245,2672.4245,1.0,2650.269,2694.58,2650.269,2694.58,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7473900.0
size-panel,typed-byte,structured,8192,16,hit,random,direct32,2,2672.4245,2500.2975,1.0688426077296802,2650.269,2694.58,2482.666,2517.929,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,7010560.0
size-panel,typed-byte,structured,8192,16,hit,random,direct64,2,2672.4245,2524.7245000000003,1.0585014325325397,2650.269,2694.58,2520.676,2528.773,faster,427096,432008,1.150092719201301,6432,1.4888613173830114,0,7271065.0
size-panel,typed-byte,structured,8192,16,hit,random,packed,2,2672.4245,2538.2870000000003,1.0528456789953224,2650.269,2694.58,2534.536,2542.038,faster,427096,427392,0.0693052615805323,1816,0.4249026654687032,0,6996165.0
size-panel,typed-byte,structured,8192,16,hit,random,sub32,2,2672.4245,2751.1925,0.9713695061323407,2650.269,2694.58,2737.691,2764.694,slower,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,6736875.0
size-panel,typed-byte,structured,8192,16,hit,sorted,base,2,2478.737,2478.737,1.0,2464.62,2492.854,2464.62,2492.854,overlap,427096,427096,0.0,1520,0.35589188379193437,288,7473900.0
size-panel,typed-byte,structured,8192,16,hit,sorted,direct32,2,2478.737,2329.6585,1.0639915678628435,2464.62,2492.854,2325.79,2333.527,faster,427096,428824,0.40459287841609903,3248,0.7574202936402813,0,7010560.0
size-panel,typed-byte,structured,8192,16,hit,sorted,direct64,2,2478.737,2294.7690000000002,1.080168417823319,2464.62,2492.854,2294.596,2294.942,faster,427096,432008,1.150092719201301,6432,1.4888613173830114,0,7271065.0
size-panel,typed-byte,structured,8192,16,hit,sorted,packed,2,2478.737,2340.3345,1.059137913832403,2464.62,2492.854,2339.498,2341.171,faster,427096,427392,0.0693052615805323,1816,0.4249026654687032,0,6996165.0
size-panel,typed-byte,structured,8192,16,hit,sorted,sub32,2,2478.737,2588.9764999999998,0.9574196598540003,2464.62,2492.854,2584.422,2593.531,slower,427096,427384,0.06743214640267947,1808,0.42303876607453716,576,6736875.0
