profile,distribution,records,key_bytes,access,variant,process,trials,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_min_ns,cpu_median_ns,cpu_max_ns,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
typed-bit,hash,2097152,128,random,sub32,1,3,10265.05,10417.835,10615.862,1.034175381512998,10227.962,10305.359,10573.057,1.033740348272706,0.9892035149337651,0.9959678262584801,0.9963869635315951
typed-bit,hash,2097152,128,random,sub32,2,3,10055.658,10266.349,10709.764,1.0650485527650204,10013.494,10216.463,10641.863,1.0627522221514287,0.9936598976410684,0.9951408236754857,0.995806937745894
typed-bit,hash,2097152,128,sorted,base,0,3,7999.525,8026.365,8029.982,1.0038073510614693,7980.937,8005.44,8006.414,1.0031922316890862,0.9970649996475708,0.9973929668037773,0.9976763620339958
typed-bit,hash,2097152,128,sorted,base,1,3,8009.415,8020.667,8031.628,1.0027733611006546,7991.179,7999.718,8009.966,1.0023509672352477,0.9973029129337166,0.9973881224591421,0.997723179533087
typed-bit,hash,2097152,128,sorted,base,2,3,7959.259,7977.328,8093.962,1.016924062905856,7941.383,7956.048,8035.988,1.0119129123982562,0.9928373768001382,0.9973324401353435,0.9977540622814259
typed-bit,hash,2097152,128,sorted,direct32,0,3,7587.644,7600.795,7617.762,1.0039693480611371,7571.158,7577.949,7596.44,1.0033392514064559,0.996994261784458,0.9972010152063033,0.9978272570510688
typed-bit,hash,2097152,128,sorted,direct32,1,3,7713.504,7740.079,7798.712,1.0110466008703698,7689.69,7716.777,7762.176,1.0094263877997685,0.9953151238307043,0.9969126871522981,0.9969894364127292
typed-bit,hash,2097152,128,sorted,direct32,2,3,7843.022,8115.862,8143.812,1.0383512885721855,7815.341,8069.843,8093.526,1.0355947360454265,0.9938252503864283,0.9943297458729584,0.9964706206357703
typed-bit,hash,2097152,128,sorted,direct64,0,3,7593.533,7593.564,7628.077,1.0045491341118817,7572.807,7574.528,7599.307,1.003499362917872,0.9962284072381544,0.9972665009473811,0.99749721243063
typed-bit,hash,2097152,128,sorted,direct64,1,3,7655.671,7661.102,7665.819,1.001325553305517,7635.361,7641.752,7647.411,1.0015781834021993,0.9973470646792423,0.9974742537039711,0.9975986910204897
typed-bit,hash,2097152,128,sorted,direct64,2,3,7988.185,8132.064,8132.483,1.018063928163907,7949.681,8069.759,8088.268,1.017433026557921,0.9922872264227297,0.9946144053957273,0.9951798812871759
