variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,4,bit-3-4096,build,0,1,5690,1884292,0,0,0,0,3555944624
baseline,4,bit-3-4096,query,0,1,4096,29408542,0,0,0,0,6584442294199094370
baseline,4,bit-3-4096,build,0,2,5690,1748541,0,0,0,0,3555944624
baseline,4,bit-3-4096,query,0,2,4096,30229958,0,0,0,0,6584442294199094370
baseline,4,bit-3-4096,build,0,3,5690,1734791,0,0,0,0,3555944624
baseline,4,bit-3-4096,query,0,3,4096,29160291,0,0,0,0,6584442294199094370
baseline,4,bit-15-4096,build,0,1,2632,955542,0,0,0,0,2558807147
baseline,4,bit-15-4096,query,0,1,4096,26234750,0,0,0,0,6584442294199094370
baseline,4,bit-15-4096,build,0,2,2632,996833,0,0,0,0,2558807147
baseline,4,bit-15-4096,query,0,2,4096,27793542,0,0,0,0,6584442294199094370
baseline,4,bit-15-4096,build,0,3,2632,1013791,0,0,0,0,2558807147
baseline,4,bit-15-4096,query,0,3,4096,28099208,0,0,0,0,6584442294199094370
candidate,4,byte-3-0,build,0,1,5690,1206625,0,0,0,0,1761918743
candidate,4,byte-3-0,query,0,1,4096,17978375,0,0,0,0,6584442294199094370
candidate,4,byte-3-0,build,0,2,5690,1176666,0,0,0,0,1761918743
candidate,4,byte-3-0,query,0,2,4096,18680042,0,0,0,0,6584442294199094370
candidate,4,byte-3-0,build,0,3,5690,1315333,0,0,0,0,1761918743
candidate,4,byte-3-0,query,0,3,4096,18307250,0,0,0,0,6584442294199094370
candidate,4,byte-15-0,build,0,1,2632,725458,0,0,0,0,1583706055
candidate,4,byte-15-0,query,0,1,4096,16131417,0,0,0,0,6584442294199094370
candidate,4,byte-15-0,build,0,2,2632,692666,0,0,0,0,1583706055
candidate,4,byte-15-0,query,0,2,4096,16207042,0,0,0,0,6584442294199094370
candidate,4,byte-15-0,build,0,3,2632,732792,0,0,0,0,1583706055
candidate,4,byte-15-0,query,0,3,4096,16265916,0,0,0,0,6584442294199094370
candidate,4,bit-3-0,build,0,1,5690,1803458,0,0,0,0,3340569477
candidate,4,bit-3-0,query,0,1,4096,26469000,0,0,0,0,6584442294199094370
candidate,4,bit-3-0,build,0,2,5690,1810792,0,0,0,0,3340569477
candidate,4,bit-3-0,query,0,2,4096,26412292,0,0,0,0,6584442294199094370
candidate,4,bit-3-0,build,0,3,5690,2044959,0,0,0,0,3340569477
candidate,4,bit-3-0,query,0,3,4096,26455625,0,0,0,0,6584442294199094370
