records,key_bytes,distribution,query_kind,access,profile,process,wall_min_ns,wall_median_ns,wall_max_ns,wall_max_min_ratio,cpu_max_min_ratio,cpu_wall_min,cpu_wall_median,cpu_wall_max
131072,128,structured,mixed,dependent,typed-bit,0,6859.873,6989.889,7012.182,1.0222028891788522,1.0210049127746148,0.997381789610679,0.9979682501110212,0.9991391968918375
131072,128,structured,mixed,dependent,typed-bit,1,7142.1,7163.111,7225.286,1.0116472746111087,1.0113255173058322,0.9974699963433974,0.9977873454586185,0.9980963578534523
131072,128,structured,mixed,dependent,typed-bit,2,6867.462,7097.539,7103.973,1.0344393605672662,1.0415456431916261,0.9911776723336801,0.9964563773443161,0.9979867603663471
131072,128,structured,mixed,dependent,typed-byte,0,3345.073,3433.228,3770.03,1.1270396789546895,1.0367527493576072,0.9181346037034187,0.9973051600418033,0.9980915214705329
131072,128,structured,mixed,dependent,typed-byte,1,3402.761,3443.598,3480.688,1.022901108834855,1.0221253194334718,0.9943579360889395,0.9980182078945311,0.9987757000859008
131072,128,structured,mixed,dependent,typed-byte,2,3330.139,3368.754,3690.73,1.1082810657453037,1.1067664080314876,0.9940708048138868,0.9961701343636624,0.9975334362919986
131072,128,structured,mixed,independent,typed-bit,0,6768.209,6989.268,7407.898,1.094513777573949,1.0921552553086342,0.9961316961977609,0.9976574084725325,0.99828285444495
131072,128,structured,mixed,independent,typed-bit,1,7007.446,7046.672,7190.104,1.0260662729331058,1.028843735440301,0.9957603669011506,0.9974729915057775,0.998455794241641
131072,128,structured,mixed,independent,typed-bit,2,6886.805,6902.929,6973.231,1.012549505902955,1.0102840061095988,0.9954952015787231,0.9977275383868135,0.9981542617633761
131072,128,structured,mixed,independent,typed-byte,0,3279.51,3338.913,3526.82,1.0754106558601741,1.0287010600318056,0.9546713469924748,0.998019521208961,0.9988514226037036
131072,128,structured,mixed,independent,typed-byte,1,3308.121,3359.156,3394.129,1.025999049006974,1.022355728918511,0.9950685433582519,0.9968536739585777,0.9986146214119738
131072,128,structured,mixed,independent,typed-byte,2,3244.003,3393.524,3467.687,1.0689530804996172,1.06879924387129,0.9966816206397833,0.997213127943785,0.9973566608908807
131072,16,hash,hit,dependent,typed-bit,0,6781.464,6811.885,7008.113,1.0334218392960577,1.0320864278336221,0.996316697519004,0.9971587893806193,0.9976058267064457
131072,16,hash,hit,dependent,typed-bit,1,6593.781,6846.344,6890.503,1.0450002813256916,1.0428964731015278,0.9959828767217721,0.9979920473549243,0.9981382764289962
131072,16,hash,hit,dependent,typed-bit,2,6559.275,6616.536,6741.486,1.0277791371759837,1.0245857531328106,0.9952936192406244,0.9983957068426008,0.9987839558342915
131072,16,hash,hit,dependent,typed-byte,0,3386.185,3450.892,3633.565,1.0730556658894892,1.07108767340578,0.9957069709775386,0.9975364606481926,0.9979779141161185
131072,16,hash,hit,dependent,typed-byte,1,3433.98,3557.093,3798.121,1.1060405127577912,1.1096808216285274,0.9956278137904122,0.9981912196279378,0.9989047215715349
131072,16,hash,hit,dependent,typed-byte,2,3388.906,3438.741,3471.985,1.0245149909734883,1.0242447261952197,0.9972649651424185,0.9975281108416698,0.997825657704375
131072,16,hash,hit,independent,typed-bit,0,6825.979,6844.493,7061.529,1.0345078705926285,1.0317838451754524,0.9947195571950493,0.9971121308766039,0.9973457287225759
131072,16,hash,hit,independent,typed-bit,1,6826.014,6908.681,6936.529,1.016190268581342,1.0167723882463657,0.9956715588336033,0.9957137983357461,0.9962419244553004
131072,16,hash,hit,independent,typed-bit,2,6611.176,6811.167,6883.352,1.0411690749119369,1.031497376268329,0.9874293803367894,0.9904834222975298,0.9966878812483588
131072,16,hash,hit,independent,typed-byte,0,3441.111,3520.254,3554.392,1.032919891279299,1.0320178645799787,0.9962336737197248,0.9968442618061083,0.9971044235422803
131072,16,hash,hit,independent,typed-byte,1,3483.922,3591.955,3604.64,1.034650029478272,1.0360894762823574,0.9924072861644991,0.9931209711354043,0.9980147301399934
131072,16,hash,hit,independent,typed-byte,2,3461.105,3469.452,3515.915,1.0158359830169845,1.016054750831797,0.9950023807794429,0.9972433659192657,0.9974581296760587
131072,16,hash,miss,dependent,typed-bit,0,7040.456,7118.505,7188.695,1.0210553123263606,1.020987361755837,0.9927962402217881,0.9960788432392805,0.9961451360536874
131072,16,hash,miss,dependent,typed-bit,1,7130.885,7211.339,7286.006,1.021753400875207,1.0210606655763117,0.9957408764143209,0.9964164335843306,0.9976168087507743
131072,16,hash,miss,dependent,typed-bit,2,6910.268,6976.893,7040.807,1.0188905842725637,1.0149956114933048,0.9940171630894016,0.9972436154603489,0.9978316325792285
131072,16,hash,miss,dependent,typed-byte,0,3605.998,3711.487,3757.741,1.0420807221745547,1.0427624397587263,0.9787764311177702,0.9971577909915645,0.9978101204952657
131072,16,hash,miss,dependent,typed-byte,1,3573.186,3619.573,3782.771,1.0586549370785623,1.056777999649676,0.9968131827171139,0.9980818179381933,0.9985836169737595
131072,16,hash,miss,dependent,typed-byte,2,3626.989,3673.111,3762.365,1.0373246238133063,1.0317977432858905,0.9901176520619346,0.9954212709219686,0.9959704457611
131072,16,hash,miss,independent,typed-bit,0,7359.172,7563.278,7591.08,1.0315127843186707,1.0312748874588769,0.994984582082002,0.9955329149475437,0.9957625667670222
131072,16,hash,miss,independent,typed-bit,1,7096.848,7146.688,7424.215,1.0461285066271675,1.047373093648038,0.9967410884381348,0.9976478614989208,0.9979269188729043
131072,16,hash,miss,independent,typed-bit,2,6895.259,6908.401,6931.981,1.0053256882736383,1.0054384191320735,0.9973606048635568,0.9978850685666776,0.9979969650811218
131072,16,hash,miss,independent,typed-byte,0,3569.59,3579.396,3628.922,1.0166215167568264,1.0116044297614208,0.9929736709689544,0.9978983580747369,0.9989132244658037
131072,16,hash,miss,independent,typed-byte,1,3724.818,3863.912,3864.649,1.037540357676536,1.0394556654761715,0.9958179689392513,0.9972838941392572,0.9991248881851883
