kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
cutover,15,train,65536,4,32,50,8,0,1,1,65536,16384,8196298,2049259,1032160,258312,-1,-1,321,321,17.638208,18.284458,5.406958,3.40183335356,2.021958,0.0475,2.230542,0.389417,0.347209,0.370083,73720,9161482,1153712,614578965
cutover,15,train,65536,4,32,50,8,0,2,0,65536,16384,8196298,2049259,1032160,258312,-1,-1,321,321,18.104334,18.813459,2.863417,1.31645845249,0.794833,0.030375,1.0035,0.31575,0.324,0.394625,73720,9161482,1153712,614578965
cutover,16,train,65536,16,32,50,8,0,0,1,65536,4096,8196298,512544,1032160,64864,-1,-1,321,321,15.118125,15.639,7.195041,5.20191667601,1.296625,0.032917,4.346166,0.387084,0.682458,0.449583,67582,8437475,1062528,2803778650
cutover,16,train,65536,16,32,50,8,0,1,0,65536,4096,8196298,512544,1032160,64864,-1,-1,321,321,15.425083,15.942625,6.335792,3.36937501561,2.39875,0.038084,1.121666,0.312458,2.00525,0.459209,67582,8437475,1062528,2803778650
cutover,16,train,65536,16,32,50,8,0,2,1,65536,4096,8196298,512544,1032160,64864,-1,-1,321,321,15.419083,15.965708,4.008375,1.99820828857,1.722375,0.038083,1.065084,0.299584,0.408,0.474709,67582,8437475,1062528,2803778650
cutover,17,train,65536,1,0,50,8,0,0,0,65536,65536,8169824,8169921,1028840,1028856,-1,-1,65,65,26.166958,26.79925,6.95475,3.6361249513,3.277125,0.053209,1.298916,0.669,0.779416,0.876833,98286,12022999,1514096,1472454093
cutover,17,train,65536,1,0,50,8,0,1,1,65536,65536,8169824,8169921,1028840,1028856,-1,-1,65,65,27.041792,27.815,7.548083,4.19529172359,1.522667,0.035667,1.177916,3.379083,0.848083,0.584333,98286,12022999,1514096,1472454093
cutover,17,train,65536,1,0,50,8,0,2,0,65536,65536,8169824,8169921,1028840,1028856,-1,-1,65,65,26.183083,27.097375,4.94925,2.91779160034,2.23325,0.035917,1.209916,0.406,0.561375,0.502459,98286,12022999,1514096,1472454093
cutover,18,train,65536,1,256,50,8,0,0,1,65536,65536,8224310,8224407,1035656,1035672,-1,-1,2113,2113,26.904667,27.939667,6.875541,4.80795832118,1.182666,0.041709,4.54575,0.337125,0.385833,0.382292,98286,12099751,1523704,439435349
cutover,18,train,65536,1,256,50,8,0,1,0,65536,65536,8224310,8224407,1035656,1035672,-1,-1,2113,2113,26.832417,27.831584,8.958708,5.60370838502,1.000916,0.06875,4.985291,0.358583,0.464417,2.080458,98286,12099751,1523704,439435349
cutover,18,train,65536,1,256,50,8,0,2,1,65536,65536,8224310,8224407,1035656,1035672,-1,-1,2113,2113,26.699458,27.308,9.68325,7.00362503994,1.17575,0.043125,6.737125,0.41525,0.759042,0.552708,98286,12099751,1523704,439435349
cutover,19,train,65536,1,32,0,8,0,0,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,30.739666,31.573166,7.206,5.21825003671,4.1995,0.0545,1.739917,0.359417,0.42225,0.430209,131072,15926477,2005656,4061510636
cutover,19,train,65536,1,32,0,8,0,1,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,31.565042,32.397584,4.395,2.05941667082,1.267584,0.03975,1.4005,0.672041,0.527375,0.487458,131072,15926477,2005656,4061510636
cutover,19,train,65536,1,32,0,8,0,2,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,31.313084,32.54775,8.050667,5.38799993228,1.6955,0.057291,4.535792,0.469333,0.656792,0.635416,131072,15926477,2005656,4061510636
cutover,20,train,65536,1,32,100,8,0,0,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,19.510333,20.037416,5.32225,3.07262502611,2.720334,0.042958,1.16325,0.288458,0.699458,0.407666,65536,8196395,1032168,420604831
cutover,20,train,65536,1,32,100,8,0,1,0,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,19.649583,20.275125,5.603375,2.58845830103,1.225167,0.033291,1.648959,1.872042,0.363541,0.460167,65536,8196395,1032168,420604831
cutover,20,train,65536,1,32,100,8,0,2,1,65536,65536,8196298,8196395,1032160,1032168,-1,-1,321,321,19.660417,20.172833,6.137291,3.00891668303,1.507875,0.039042,2.925833,0.389166,0.682666,0.592084,65536,8196395,1032168,420604831
cutover,21,train,65536,1,32,50,64,0,0,0,65536,65536,35189720,35190269,4407504,4407568,-1,-1,321,321,27.865083,32.890666,8.8765,6.17495842744,1.626709,0.043416,5.190042,0.413,0.805125,0.797833,98286,52540619,6580568,500933546
cutover,21,train,65536,1,32,50,64,0,1,1,65536,65536,35189720,35190269,4407504,4407568,-1,-1,321,321,26.880625,28.681917,6.289542,3.07412503753,1.570584,0.044,1.727167,0.393458,1.244,1.310083,98286,52540619,6580568,500933546
cutover,21,train,65536,1,32,50,64,0,2,0,65536,65536,35189720,35190269,4407504,4407568,-1,-1,321,321,27.03725,28.945833,5.300541,2.90299998596,1.17525,0.046916,2.259,0.349875,0.758667,0.710459,98286,52540619,6580568,500933546
cutover,22,train,65536,1,32,50,512,0,0,1,65536,65536,249074740,249078879,31144648,31145168,-1,-1,321,321,36.91325,46.821375,12.407334,4.05287492322,2.136,0.036959,1.415625,1.893458,3.2495,3.675458,98286,373303529,46678216,2001678747
cutover,22,train,65536,1,32,50,512,0,1,0,65536,65536,249074740,249078879,31144648,31145168,-1,-1,321,321,35.245166,45.241583,12.351959,4.95562498691,2.255584,0.04375,1.591333,0.309,4.384917,3.767,98286,373303529,46678216,2001678747
cutover,22,train,65536,1,32,50,512,0,2,1,65536,65536,249074740,249078879,31144648,31145168,-1,-1,321,321,34.616875,44.913583,12.760917,4.80791664449,2.83175,0.065542,2.208708,0.719083,2.751208,4.180083,98286,373303529,46678216,2001678747
cutover,23,train,65536,1,32,50,8,1,0,0,65536,65536,5704726,5704726,719040,719040,72,72,321,321,23.820917,24.498459,8.485542,5.0404999638,1.477167,0.039916,2.37575,0.592375,3.425875,0.574291,98286,8322324,1048800,1088617057
cutover,23,train,65536,1,32,50,8,1,1,1,65536,65536,5704726,5704726,719040,719040,72,72,321,321,23.343167,24.213292,7.814,5.5020833388,1.383583,0.0355,5.074416,0.469625,0.434791,0.415833,98286,8322324,1048800,1088617057
cutover,23,train,65536,1,32,50,8,1,2,0,65536,65536,5704726,5704726,719040,719040,72,72,321,321,23.595416,24.344541,5.059541,3.04525007959,1.578833,0.042833,2.161625,0.40925,0.443958,0.422793,98286,8322324,1048800,1088617057
cutover,24,train,262144,4,32,50,8,0,0,1,262144,65536,32784814,8196395,4127560,1032168,-1,-1,321,321,72.289209,73.677917,5.639958,2.45704181725,1.797291,0.045667,1.56475,0.52875,1.000583,0.702708,294894,36647157,4613960,1791713158
cutover,24,train,262144,4,32,50,8,0,1,0,262144,65536,32784814,8196395,4127560,1032168,-1,-1,321,321,72.233083,73.591708,6.913458,4.02633333579,1.436542,0.043333,3.205125,0.571917,0.904042,0.752334,294894,36647157,4613960,1791713158
cutover,24,train,262144,4,32,50,8,0,2,1,262144,65536,32784814,8196395,4127560,1032168,-1,-1,321,321,71.625041,73.295125,10.521542,7.17279169476,1.753542,0.03175,6.016583,0.687583,1.215291,0.816584,294894,36647157,4613960,1791713158
cutover,25,train,262144,16,32,50,8,0,0,0,262144,16384,32784814,2049259,4127560,258312,-1,-1,321,321,62.094458,63.747667,9.820791,6.70137506677,1.547416,0.033417,5.789,0.73125,0.871792,0.8475,270328,33749998,4249112,2268045589
cutover,25,train,262144,16,32,50,8,0,1,1,262144,16384,32784814,2049259,4127560,258312,-1,-1,321,321,62.576958,64.260791,7.558958,4.44266671548,3.602875,0.033708,1.713958,0.723167,0.747916,0.737042,270328,33749998,4249112,2268045589
cutover,25,train,262144,16,32,50,8,0,2,0,262144,16384,32784814,2049259,4127560,258312,-1,-1,321,321,62.55925,64.28675,9.967458,6.76812505117,1.537917,0.039791,6.128542,0.577208,0.873667,0.809958,270328,33749998,4249112,2268045589
cutover,26,train,262144,1,0,50,8,0,0,1,262144,262144,32679698,32679785,4114408,4114416,-1,-1,65,65,109.682417,111.338792,11.027292,7.60404166067,2.073833,0.070791,5.978083,0.698334,1.460958,0.745,393194,48099714,6056352,6018038
cutover,26,train,262144,1,0,50,8,0,1,0,262144,262144,32679698,32679785,4114408,4114416,-1,-1,65,65,108.306542,110.46175,10.723333,6.91416661721,2.32575,0.031416,5.525667,0.689292,1.388667,0.762125,393194,48099714,6056352,6018038
cutover,26,train,262144,1,0,50,8,0,2,1,262144,262144,32679698,32679785,4114408,4114416,-1,-1,65,65,107.779416,109.721833,8.4375,4.76533337496,3.360042,0.043084,1.816541,0.818166,1.2455,1.153833,393194,48099714,6056352,6018038
cutover,27,train,262144,1,256,50,8,0,0,0,262144,262144,32891468,32891555,4140904,4140912,-1,-1,2113,2113,108.437916,110.437,11.49425,7.96049996279,2.051125,0.040041,6.905584,0.557625,0.947125,0.992499,393194,48400590,6094000,1804080054
cutover,27,train,262144,1,256,50,8,0,1,1,262144,262144,32891468,32891555,4140904,4140912,-1,-1,2113,2113,110.63925,112.392958,16.395292,12.7162499703,3.364792,0.049375,10.486,0.620291,1.095709,0.778834,393194,48400590,6094000,1804080054
cutover,27,train,262144,1,256,50,8,0,2,0,262144,262144,32891468,32891555,4140904,4140912,-1,-1,2113,2113,107.910708,109.895708,12.967584,9.36175003881,1.977709,0.068,8.506833,0.660917,0.939375,0.814208,393194,48400590,6094000,1804080054
cutover,28,train,262144,1,32,0,8,0,0,1,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,129.262334,131.703375,8.774542,4.27125004353,2.160875,0.040458,3.4355,0.680125,1.382458,1.074833,524288,63705759,8021576,1993816050
cutover,28,train,262144,1,32,0,8,0,1,0,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,128.654,131.034083,12.564084,8.88037501136,2.537584,0.055084,6.360167,0.815542,1.7205,1.07475,524288,63705759,8021576,1993816050
cutover,28,train,262144,1,32,0,8,0,2,1,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,129.25225,132.256,8.803209,4.30387503002,3.168459,0.045833,2.427875,0.703208,1.475125,0.982333,524288,63705759,8021576,1993816050
cutover,29,train,262144,1,32,100,8,0,0,0,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,82.326292,84.032084,7.256625,4.3305415893,3.088708,0.052209,2.21,0.465625,0.708042,0.731499,262144,32784901,4127576,2509635873
cutover,29,train,262144,1,32,100,8,0,1,1,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,80.634709,82.312584,6.4725,3.48508334719,1.746083,0.034125,2.637458,0.44275,0.943875,0.667958,262144,32784901,4127576,2509635873
cutover,29,train,262144,1,32,100,8,0,2,0,262144,262144,32784814,32784901,4127560,4127576,-1,-1,321,321,79.690166,81.161833,7.911167,4.15095838252,2.503709,0.051542,2.600958,1.269083,0.833167,0.652458,262144,32784901,4127576,2509635873
cutover,30,train,262144,1,32,50,64,0,0,1,262144,262144,140758484,140759025,17628944,17629008,-1,-1,321,321,112.219625,118.718667,12.1055,6.53324992163,2.201792,0.036917,3.958292,0.681166,2.903834,2.322709,393194,210192968,26325112,946894025
cutover,30,train,262144,1,32,50,64,0,1,0,262144,262144,140758484,140759025,17628944,17629008,-1,-1,321,321,110.594334,116.964625,19.128,11.956958333,3.125625,0.052625,4.087334,0.702583,7.376291,3.782917,393194,210192968,26325112,946894025
cutover,30,train,262144,1,32,50,64,0,2,1,262144,262144,140758484,140759025,17628944,17629008,-1,-1,321,321,112.065834,119.225709,10.581125,5.17670833506,1.893333,0.03625,3.2855,0.536,2.4095,2.420292,393194,210192968,26325112,946894025
