case,layout,value_tile_words,older,newer,canceled,output_records,payload_bytes,file_bytes,sparse_entries,cpu_ms,gpu_total_ms,gpu_device_ms,fixture_encode_ms,map_import_ms,clip_ms,repeats,cpu_min_ms,cpu_max_ms,gpu_min_ms,gpu_max_ms,cpu_forward_ms,cpu_forward_min_ms,cpu_forward_max_ms
balanced-262144-90,fv,4,262144,262144,235929,288359,73819893,78812384,0,17.3966,4.40425,2.91275,12.5055,15.8323,1.59025,5,17.2097,17.5991,4.34979,7.12046,7.46433,7.22983,7.70829
skew-262144,ff,1,262144,4096,131072,135168,2162688,4325632,0,1.11267,1.48458,0.338875,2.31046,5.03,0.799667,5,1.06113,1.12875,1.12404,2.03017,1.10613,1.08621,1.19887
skew-4096,ff,1,4096,262144,2048,264192,4227072,8454400,0,1.76358,1.59079,0.44525,2.1885,3.54754,0.788667,5,1.68892,1.84271,1.13671,4.13221,1.71021,1.60154,1.74375
skew-262144,fv,4,262144,4096,131072,135168,34603433,36943824,0,8.03483,2.82479,1.65329,5.85975,9.49421,1.11879,5,7.81342,8.25638,2.64583,5.48817,3.40437,3.37,3.4355
skew-4096,fv,4,4096,262144,2048,264192,67632560,72206664,0,15.4287,4.07275,2.77329,6.10588,11.1735,1.02742,5,15.0324,15.5988,4.00967,4.14717,6.10479,5.95404,6.21896
scattered-262144,ff,1,262144,262144,131072,393216,6291456,12583168,0,3.4595,1.89813,0.877208,5.53525,6.15175,0.6725,5,3.30567,3.51575,1.75029,3.30179,3.37092,3.24679,3.39954
scattered-262144,fv,4,262144,262144,131072,393216,100661832,107469664,0,32.3793,8.74725,6.97513,12.0644,18.6246,1.66042,5,32.245,32.4372,6.18654,9.41762,12.9941,12.6829,13.0396
tiny-4096-0,fv,4,4096,4096,0,8192,24578,160040,0,0.322583,1.64,0.510792,0.127958,5.33767,0.49275,5,0.28725,0.363458,1.33308,1.78612,0.127709,0.118417,0.148667
tiny-4096-50,fv,4,4096,4096,2048,6144,18435,120104,0,0.20675,0.990125,0.455958,0.079625,2.10079,0.414709,5,0.205625,0.229209,0.930875,1.60925,0.085667,0.084209,0.093625
tiny-16384-0,fv,4,16384,16384,0,32768,98301,639256,0,1.19871,1.67342,0.559583,0.30325,0.506667,0.435833,5,1.15696,1.31554,1.10221,4.20975,0.455334,0.452542,0.499375
tiny-16384-50,fv,4,16384,16384,8192,24576,73726,479512,0,0.865375,1.25308,0.508417,0.308625,0.560709,0.361667,5,0.834125,1.06292,1.10075,4.40571,0.354875,0.339625,0.363958
tiny-32768-0,fv,4,32768,32768,0,65536,196610,1278248,0,2.41892,1.32533,0.568083,0.594458,0.658791,0.561,5,2.30033,2.45254,1.16817,4.10754,0.919458,0.909042,1.11204
tiny-32768-50,fv,4,32768,32768,16384,49152,147459,958760,0,1.65446,1.41875,0.533208,0.594208,0.758583,0.535125,5,1.60537,1.7325,1.30067,3.99692,0.711625,0.67525,0.749209
tiny-65536-0,fv,4,65536,65536,0,131072,393217,2556200,0,4.80554,1.65117,0.777833,1.24358,0.788791,0.808833,5,4.55092,4.94633,1.58042,4.12162,1.95225,1.82092,1.97788
tiny-65536-50,fv,4,65536,65536,32768,98304,294911,1917208,0,3.45908,1.883,0.692417,1.20592,0.985125,0.835,5,3.38267,3.5675,1.59821,4.36583,1.37354,1.32567,1.60321
tiny-131072-0,fv,4,131072,131072,0,262144,786429,5112088,0,9.44008,2.24063,1.135,2.42817,1.15533,0.976083,5,9.30588,9.49829,1.27275,3.85671,3.78333,3.71954,3.945
tiny-131072-50,fv,4,131072,131072,65536,196608,589822,3834136,0,6.87896,1.88563,0.581833,2.373,1.356,1.06987,5,6.79246,7.02196,1.53958,2.01063,2.83504,2.714,3.06692
tiny-262144-0,fv,4,262144,262144,0,524288,1572866,10223912,0,18.8649,3.31212,2.01217,4.97567,1.70425,1.07758,5,18.737,19.0589,2.93829,4.926,7.50817,7.436,7.693
tiny-262144-50,fv,4,262144,262144,131072,393216,1179651,7668008,0,13.3735,2.80683,1.34833,4.81296,1.77737,1.13733,5,13.1345,13.4962,2.77846,6.08692,5.41725,5.34229,5.55742
large-4096-0,fv,4,4096,4096,0,8192,25162252,25307944,0,1.3505,2.21196,0.966542,3.14421,3.56212,0.907666,5,1.23279,1.44725,1.89308,4.59971,1.02671,0.983333,1.12967
large-4096-50,fv,4,4096,4096,2048,6144,18871733,18981072,0,0.874666,2.00608,0.71025,1.77296,3.70971,0.540917,5,0.849083,0.906417,1.51733,4.93733,0.698042,0.693459,0.838209
large-16384-0,fv,4,16384,16384,0,32768,100654144,101236056,0,5.1685,3.67454,2.60629,6.39275,12.879,0.434959,5,5.10233,5.23675,3.64412,6.49087,4.10167,3.96717,4.23158
large-16384-50,fv,4,16384,16384,8192,24576,75491426,75927936,0,3.77029,3.20383,1.85488,7.51225,11.3639,0.983333,5,3.74175,3.90554,3.03075,5.68192,3.12217,2.89812,3.18983
large-32768-0,fv,4,32768,32768,0,65536,201321984,202485528,0,10.3686,4.71338,3.47838,25.6386,24.5273,0.902875,5,10.3237,10.6325,3.65308,7.20033,8.46417,8.24013,8.61496
large-32768-50,fv,4,32768,32768,16384,49152,150994836,151867568,0,7.2295,3.59183,2.32867,32.1351,52.2734,1.11158,5,7.02592,7.41904,2.77738,6.09496,5.94212,5.81658,6.122
word-balanced-262144-0,fv,1,262144,262144,0,524288,134217273,143294296,0,37.4539,13.0063,11.6013,12.6025,24.6079,2.06354,5,37.0748,37.5443,5.46625,13.2435,14.2008,14.0297,14.2561
word-balanced-262144-50,fv,1,262144,262144,131072,393216,100663550,107471392,0,23.3065,7.70671,6.14013,13.2695,32.451,1.6405,5,23.0719,23.5202,7.40754,10.5103,9.65654,9.56854,9.86596
