mode,rep,kind,case,split,n,ratio,prefix,overlap,value_bytes,fixed_values,trial,cpu_first,a_records,b_records,a_payload_bits,b_payload_bits,a_file_bytes,b_file_bytes,a_common_value_bits,b_common_value_bits,a_terminal_key_bits,b_terminal_key_bits,cpu_merge_ms,cpu_all_ms,gpu_all_ms,gpu_command_ms,parse_ms,prepare_ms,order_ms,size_ms,emit_ms,assembly_ms,survivors,output_bits,output_bytes,output_crc32c
fused,1,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.597042,1.898709,8.83425,7.46608333429,1.326542,0.025209,6.851917,0.268541,0.230709,0.131042,6142,757836,95744,2590442344
fused,1,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.737084,2.015125,3.541292,2.52008333337,0.563959,0.025083,2.407833,0.231583,0.208292,0.104417,6142,757836,95744,2590442344
fused,1,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.650292,1.887875,5.073041,3.39320843341,0.916333,0.024542,3.503209,0.268084,0.233458,0.127126,6142,757836,95744,2590442344
separate,1,cutover,9,train,4096,1,256,50,8,0,0,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.561833,1.744291,5.088417,3.76599997981,0.802042,0.030584,3.539333,0.24075,0.212542,0.262958,6142,757836,95744,2590442344
separate,1,cutover,9,train,4096,1,256,50,8,0,1,1,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.647375,1.87275,6.210833,4.13616665173,0.978791,0.028209,4.239791,0.263334,0.259667,0.440792,6142,757836,95744,2590442344
separate,1,cutover,9,train,4096,1,256,50,8,0,2,0,4096,4096,515843,515980,65280,65296,-1,-1,2113,2113,1.509792,1.697292,4.079375,2.98862496857,0.666375,0.02575,2.769625,0.203292,0.185583,0.228542,6142,757836,95744,2590442344
separate,0,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.390334,3.370834,3.69525,1.83079164708,1.345625,0.030791,1.141917,0.24925,0.475291,0.451958,6142,23322038,2916520,3383366565
separate,0,cutover,13,train,4096,1,32,50,512,0,1,1,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.058375,3.072292,5.354083,2.90279171895,2.956458,0.030333,1.129958,0.264,0.473542,0.499417,6142,23322038,2916520,3383366565
separate,0,cutover,13,train,4096,1,32,50,512,0,2,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.132667,3.203583,4.191209,2.15474993456,1.381459,0.043208,1.410375,0.292666,0.556417,0.506834,6142,23322038,2916520,3383366565
fused,0,cutover,13,train,4096,1,32,50,512,0,0,0,4096,4096,15564785,15568964,1946560,1947088,-1,-1,321,321,2.23975,3.75125,5.107791,3.22533329017,2.103041,0.048542,1.806875,0.3175,0.5265,0.304916,6142,23322038,2916520,3383366565
