case,mode,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,merge_ms,output_ms,sequence,process,revision
2,raw-byte,structured,262144,262144,0,-1,5031680,5031680,10029680,524288,8388608,31.059459,28.735209,2.319166,23,0,baseline
2,raw-byte,structured,262144,262144,0,0,5031680,5031680,10029680,524288,8388608,27.896416,25.55625,2.332417,23,0,baseline
2,raw-byte,structured,262144,262144,0,1,5031680,5031680,10029680,524288,8388608,29.12775,26.715208,2.409375,23,0,baseline
2,raw-byte,structured,262144,262144,0,2,5031680,5031680,10029680,524288,8388608,29.044708,26.921875,2.119458,23,0,baseline
3,typed-byte,structured,4096,4096,0,-1,1087760,1088000,2174584,8192,2096697,1.384125,0.725708,0.656958,24,0,baseline
3,typed-byte,structured,4096,4096,0,0,1087760,1088000,2174584,8192,2096697,1.392542,0.692958,0.692292,24,0,baseline
3,typed-byte,structured,4096,4096,0,1,1087760,1088000,2174584,8192,2096697,1.283042,0.66525,0.616417,24,0,baseline
3,typed-byte,structured,4096,4096,0,2,1087760,1088000,2174584,8192,2096697,1.197291,0.634542,0.560333,24,0,baseline
3,typed-byte,structured,4096,4096,0,-1,1073000,1073368,2145584,8192,2096697,1.277375,0.622708,0.653,25,0,candidate
3,typed-byte,structured,4096,4096,0,0,1073000,1073368,2145584,8192,2096697,1.245083,0.590625,0.649125,25,0,candidate
3,typed-byte,structured,4096,4096,0,1,1073000,1073368,2145584,8192,2096697,1.150667,0.569959,0.5775,25,0,candidate
3,typed-byte,structured,4096,4096,0,2,1073000,1073368,2145584,8192,2096697,1.236709,0.60375,0.6295,25,0,candidate
3,raw-bit,structured,4096,4096,0,-1,1066328,1066688,2130192,8192,2096697,2.045833,1.351375,0.691792,26,0,candidate
3,raw-bit,structured,4096,4096,0,0,1066328,1066688,2130192,8192,2096697,1.955291,1.336875,0.61125,26,0,candidate
3,raw-bit,structured,4096,4096,0,1,1066328,1066688,2130192,8192,2096697,1.906875,1.3575,0.546834,26,0,candidate
3,raw-bit,structured,4096,4096,0,2,1066328,1066688,2130192,8192,2096697,1.996666,1.336917,0.658417,26,0,candidate
3,raw-bit,structured,4096,4096,0,-1,1066328,1066688,2130192,8192,2096697,5.227667,1.470708,3.754208,27,0,baseline
3,raw-bit,structured,4096,4096,0,0,1066328,1066688,2130192,8192,2096697,7.498292,1.370292,6.123708,27,0,baseline
3,raw-bit,structured,4096,4096,0,1,1066328,1066688,2130192,8192,2096697,2.177833,1.365084,0.809833,27,0,baseline
3,raw-bit,structured,4096,4096,0,2,1066328,1066688,2130192,8192,2096697,1.985084,1.371,0.61175,27,0,baseline
3,raw-byte,structured,4096,4096,0,-1,1068896,1069264,2137376,8192,2096697,1.240333,0.676375,0.562458,28,0,baseline
3,raw-byte,structured,4096,4096,0,0,1068896,1069264,2137376,8192,2096697,1.374542,0.6595,0.707958,28,0,baseline
3,raw-byte,structured,4096,4096,0,1,1068896,1069264,2137376,8192,2096697,1.233542,0.6205,0.610666,28,0,baseline
3,raw-byte,structured,4096,4096,0,2,1068896,1069264,2137376,8192,2096697,1.201583,0.638042,0.560917,28,0,baseline
3,raw-byte,structured,4096,4096,0,-1,1068896,1069264,2137376,8192,2096697,1.418125,0.804417,0.612041,29,0,candidate
3,raw-byte,structured,4096,4096,0,0,1068896,1069264,2137376,8192,2096697,1.185291,0.600333,0.578542,29,0,candidate
3,raw-byte,structured,4096,4096,0,1,1068896,1069264,2137376,8192,2096697,1.178125,0.590209,0.584333,29,0,candidate
3,raw-byte,structured,4096,4096,0,2,1068896,1069264,2137376,8192,2096697,1.152958,0.564042,0.585958,29,0,candidate
3,typed-bit,structured,4096,4096,0,-1,1063912,1064280,2125240,8192,2096697,3.169375,2.520916,0.644417,30,0,candidate
3,typed-bit,structured,4096,4096,0,0,1063912,1064280,2125240,8192,2096697,3.014417,2.368917,0.640375,30,0,candidate
3,typed-bit,structured,4096,4096,0,1,1063912,1064280,2125240,8192,2096697,2.865667,2.300125,0.562209,30,0,candidate
3,typed-bit,structured,4096,4096,0,2,1063912,1064280,2125240,8192,2096697,2.905459,2.336,0.5665,30,0,candidate
3,typed-bit,structured,4096,4096,0,-1,1063912,1064280,2125240,8192,2096697,3.078583,2.476834,0.598542,31,0,baseline
3,typed-bit,structured,4096,4096,0,0,1063912,1064280,2125240,8192,2096697,2.876125,2.320041,0.551458,31,0,baseline
3,typed-bit,structured,4096,4096,0,1,1063912,1064280,2125240,8192,2096697,2.898292,2.340833,0.5535,31,0,baseline
3,typed-bit,structured,4096,4096,0,2,1063912,1064280,2125240,8192,2096697,2.989583,2.392375,0.592833,31,0,baseline
4,raw-bit,structured,65536,65536,0,-1,17063384,17064032,34086264,131072,33554202,32.839333,24.665042,8.169041,32,0,baseline
4,raw-bit,structured,65536,65536,0,0,17063384,17064032,34086264,131072,33554202,31.709833,21.384584,10.315291,32,0,baseline
4,raw-bit,structured,65536,65536,0,1,17063384,17064032,34086264,131072,33554202,32.589791,21.889084,10.691667,32,0,baseline
4,raw-bit,structured,65536,65536,0,2,17063384,17064032,34086264,131072,33554202,29.036041,21.376625,7.653667,32,0,baseline
4,raw-bit,structured,65536,65536,0,-1,17063384,17064032,34086264,131072,33554202,32.882042,25.630125,7.245667,33,0,candidate
4,raw-bit,structured,65536,65536,0,0,17063384,17064032,34086264,131072,33554202,28.951709,21.283917,7.647458,33,0,candidate
4,raw-bit,structured,65536,65536,0,1,17063384,17064032,34086264,131072,33554202,29.694209,22.072959,7.61575,33,0,candidate
4,raw-bit,structured,65536,65536,0,2,17063384,17064032,34086264,131072,33554202,28.883875,21.236666,7.640167,33,0,candidate
4,raw-byte,structured,65536,65536,0,-1,17104552,17105200,34201176,131072,33554202,19.664708,12.755584,6.903125,34,0,candidate
4,raw-byte,structured,65536,65536,0,0,17104552,17105200,34201176,131072,33554202,17.334958,9.3095,8.012625,34,0,candidate
4,raw-byte,structured,65536,65536,0,1,17104552,17105200,34201176,131072,33554202,16.86975,9.246958,7.617333,34,0,candidate
4,raw-byte,structured,65536,65536,0,2,17104552,17105200,34201176,131072,33554202,16.443459,9.003209,7.431875,34,0,candidate
4,raw-byte,structured,65536,65536,0,-1,17104552,17105200,34201176,131072,33554202,20.58225,13.919959,6.657583,35,0,baseline
4,raw-byte,structured,65536,65536,0,0,17104552,17105200,34201176,131072,33554202,18.731625,10.529833,8.179041,35,0,baseline
4,raw-byte,structured,65536,65536,0,1,17104552,17105200,34201176,131072,33554202,18.209167,10.283125,7.921667,35,0,baseline
4,raw-byte,structured,65536,65536,0,2,17104552,17105200,34201176,131072,33554202,41.717792,10.279791,31.4325,35,0,baseline
4,typed-bit,structured,65536,65536,0,-1,17023440,17024088,34005736,131072,33554202,50.730208,41.762042,8.962542,36,0,baseline
4,typed-bit,structured,65536,65536,0,0,17023440,17024088,34005736,131072,33554202,50.896208,42.283625,8.601291,36,0,baseline
4,typed-bit,structured,65536,65536,0,1,17023440,17024088,34005736,131072,33554202,47.334125,38.394417,8.932125,36,0,baseline
4,typed-bit,structured,65536,65536,0,2,17023440,17024088,34005736,131072,33554202,46.742917,38.139209,8.597625,36,0,baseline
4,typed-bit,structured,65536,65536,0,-1,17023440,17024088,34005736,131072,33554202,46.833916,39.559208,7.265667,37,0,candidate
4,typed-bit,structured,65536,65536,0,0,17023440,17024088,34005736,131072,33554202,48.236709,40.651166,7.570292,37,0,candidate
4,typed-bit,structured,65536,65536,0,1,17023440,17024088,34005736,131072,33554202,47.947125,40.578875,7.362125,37,0,candidate
4,typed-bit,structured,65536,65536,0,2,17023440,17024088,34005736,131072,33554202,48.115916,40.557834,7.55125,37,0,candidate
4,typed-byte,structured,65536,65536,0,-1,17170224,17170872,34332512,131072,33554202,24.859708,13.199917,11.654084,38,0,candidate
4,typed-byte,structured,65536,65536,0,0,17170224,17170872,34332512,131072,33554202,17.451458,9.252834,8.185541,38,0,candidate
4,typed-byte,structured,65536,65536,0,1,17170224,17170872,34332512,131072,33554202,18.940583,9.325167,9.611125,38,0,candidate
4,typed-byte,structured,65536,65536,0,2,17170224,17170872,34332512,131072,33554202,19.133875,9.623459,9.505416,38,0,candidate
4,typed-byte,structured,65536,65536,0,-1,17406320,17404920,34796392,131072,33554202,20.937416,13.589,7.341833,39,0,baseline
4,typed-byte,structured,65536,65536,0,0,17406320,17404920,34796392,131072,33554202,18.498084,10.229167,8.252416,39,0,baseline
4,typed-byte,structured,65536,65536,0,1,17406320,17404920,34796392,131072,33554202,18.534709,10.700917,7.828625,39,0,baseline
4,typed-byte,structured,65536,65536,0,2,17406320,17404920,34796392,131072,33554202,17.68275,10.239625,7.437458,39,0,baseline
5,raw-byte,structured,131072,131072,0,-1,34209024,34209288,68401400,262144,67107712,43.694959,27.900583,15.787625,40,0,baseline
5,raw-byte,structured,131072,131072,0,0,34209024,34209288,68401400,262144,67107712,37.189209,20.454125,16.689125,40,0,baseline
5,raw-byte,structured,131072,131072,0,1,34209024,34209288,68401400,262144,67107712,41.203041,20.597875,20.598625,40,0,baseline
5,raw-byte,structured,131072,131072,0,2,34209024,34209288,68401400,262144,67107712,43.210583,20.213542,22.99,40,0,baseline
5,raw-byte,structured,131072,131072,0,-1,34209024,34209288,68401400,262144,67107712,47.382417,27.393584,19.981417,41,0,candidate
5,raw-byte,structured,131072,131072,0,0,34209024,34209288,68401400,262144,67107712,38.578208,18.191333,20.366792,41,0,candidate
5,raw-byte,structured,131072,131072,0,1,34209024,34209288,68401400,262144,67107712,33.964459,18.104,15.854041,41,0,candidate
5,raw-byte,structured,131072,131072,0,2,34209024,34209288,68401400,262144,67107712,34.543916,18.587959,15.94975,41,0,candidate
5,typed-bit,structured,131072,131072,0,-1,34046688,34046952,68010440,262144,67107712,95.508291,79.714041,15.786375,42,0,candidate
5,typed-bit,structured,131072,131072,0,0,34046688,34046952,68010440,262144,67107712,95.787875,76.674875,19.087125,42,0,candidate
5,typed-bit,structured,131072,131072,0,1,34046688,34046952,68010440,262144,67107712,94.727833,78.881042,15.837625,42,0,candidate
5,typed-bit,structured,131072,131072,0,2,34046688,34046952,68010440,262144,67107712,93.306125,76.737625,16.559167,42,0,candidate
5,typed-bit,structured,131072,131072,0,-1,34046688,34046952,68010440,262144,67107712,97.509292,82.366375,15.135292,43,0,baseline
5,typed-bit,structured,131072,131072,0,0,34046688,34046952,68010440,262144,67107712,96.0315,79.172291,16.84275,43,0,baseline
5,typed-bit,structured,131072,131072,0,1,34046688,34046952,68010440,262144,67107712,94.841458,78.486084,16.344459,43,0,baseline
5,typed-bit,structured,131072,131072,0,2,34046688,34046952,68010440,262144,67107712,97.537667,81.202625,16.323625,43,0,baseline
5,typed-byte,structured,131072,131072,0,-1,34812528,34808688,69591824,262144,67107712,43.810042,28.055417,15.7475,44,0,baseline
5,typed-byte,structured,131072,131072,0,0,34812528,34808688,69591824,262144,67107712,36.959792,20.345167,16.594583,44,0,baseline
5,typed-byte,structured,131072,131072,0,1,34812528,34808688,69591824,262144,67107712,37.194375,20.654791,16.532375,44,0,baseline
5,typed-byte,structured,131072,131072,0,2,34812528,34808688,69591824,262144,67107712,37.0465,21.014416,16.026292,44,0,baseline
5,typed-byte,structured,131072,131072,0,-1,34340352,34340624,68664072,262144,67107712,43.590333,27.382208,16.201042,45,0,candidate
5,typed-byte,structured,131072,131072,0,0,34340352,34340624,68664072,262144,67107712,34.99025,18.674292,16.305458,45,0,candidate
5,typed-byte,structured,131072,131072,0,1,34340352,34340624,68664072,262144,67107712,34.347292,18.07525,16.260125,45,0,candidate
5,typed-byte,structured,131072,131072,0,2,34340352,34340624,68664072,262144,67107712,36.7445,17.812,18.925458,45,0,candidate
5,raw-bit,structured,131072,131072,0,-1,34126656,34126928,68171576,262144,67107712,64.61775,49.085084,15.525625,46,0,candidate
5,raw-bit,structured,131072,131072,0,0,34126656,34126928,68171576,262144,67107712,58.585875,42.284916,16.288125,46,0,candidate
5,raw-bit,structured,131072,131072,0,1,34126656,34126928,68171576,262144,67107712,60.4305,43.961583,16.462583,46,0,candidate
5,raw-bit,structured,131072,131072,0,2,34126656,34126928,68171576,262144,67107712,58.561708,42.124625,16.430291,46,0,candidate
5,raw-bit,structured,131072,131072,0,-1,34126656,34126928,68171576,262144,67107712,64.98475,49.155584,15.823041,47,0,baseline
5,raw-bit,structured,131072,131072,0,0,34126656,34126928,68171576,262144,67107712,58.791125,42.643917,16.134833,47,0,baseline
5,raw-bit,structured,131072,131072,0,1,34126656,34126928,68171576,262144,67107712,59.406584,42.78375,16.615292,47,0,baseline
5,raw-bit,structured,131072,131072,0,2,34126656,34126928,68171576,262144,67107712,59.506916,43.709917,15.790375,47,0,baseline
6,typed-bit,hash-like,4096,4096,0,-1,144544,144536,287712,8192,131072,2.609208,2.112209,0.494,48,0,baseline
6,typed-bit,hash-like,4096,4096,0,0,144544,144536,287712,8192,131072,2.222417,1.965333,0.253333,48,0,baseline
6,typed-bit,hash-like,4096,4096,0,1,144544,144536,287712,8192,131072,2.509625,2.261625,0.246375,48,0,baseline
6,typed-bit,hash-like,4096,4096,0,2,144544,144536,287712,8192,131072,2.132584,1.916125,0.215,48,0,baseline
6,typed-bit,hash-like,4096,4096,0,-1,144544,144536,287712,8192,131072,2.313625,1.975166,0.336084,49,0,candidate
6,typed-bit,hash-like,4096,4096,0,0,144544,144536,287712,8192,131072,2.280042,2.012083,0.263708,49,0,candidate
