case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
4,kv-variable,structured,65536,65536,0,2,17023440,17024088,34005736,131072,33554202,12.33225,12.209875,6.455708353314549,-1.0,0,kv,9
5,kv-variable,structured,131072,131072,0,-1,34046688,34046952,68010440,262144,67107712,39.879916,39.624291,10.786249884404242,-1.0,0,kv,10
5,kv-variable,structured,131072,131072,0,0,34046688,34046952,68010440,262144,67107712,18.801084,18.55775,8.035041741095483,-1.0,0,kv,10
5,kv-variable,structured,131072,131072,0,1,34046688,34046952,68010440,262144,67107712,21.402542,21.171459,10.593999992124736,-1.0,0,kv,10
5,kv-variable,structured,131072,131072,0,2,34046688,34046952,68010440,262144,67107712,21.501459,21.207833,10.470458364579827,-1.0,0,kv,10
5,fv,structured,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,14.448083,8.781834,3.017916693352163,4.963625,0,fixed,11
5,fv,structured,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,12.835875,6.899208,3.0894167139194906,4.79225,0,fixed,11
5,fv,structured,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,12.516,6.0,3.3897916437126696,5.056916,0,fixed,11
5,fv,structured,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,13.27625,6.369459,3.757249971386045,5.606167,0,fixed,11
6,ff,hash-like,4096,4096,0,-1,131328,131328,262400,8192,131072,2.328875,2.148166,0.08554168744012713,0.014333,0,fixed,12
6,ff,hash-like,4096,4096,0,0,131328,131328,262400,8192,131072,1.2415,1.018375,0.08320825872942805,0.01425,0,fixed,12
6,ff,hash-like,4096,4096,0,1,131328,131328,262400,8192,131072,1.4785,1.2685,0.08879171218723059,0.015042,0,fixed,12
6,ff,hash-like,4096,4096,0,2,131328,131328,262400,8192,131072,1.437833,1.28625,0.10662502609193325,0.014083,0,fixed,12
6,kv-fixed16,hash-like,4096,4096,0,-1,144544,144536,287712,8192,131072,9.08775,9.018875,1.5542084001936018,-1.0,0,kv,13
6,kv-fixed16,hash-like,4096,4096,0,0,144544,144536,287712,8192,131072,3.856458,3.817208,1.4397083432413638,-1.0,0,kv,13
