case,layout,distribution,older,newer,cancelled,trial,input_a_bytes,input_b_bytes,output_bytes,output_records,value_bytes,complete_ms,internal_ms,device_ms,checksum_ms,process,mode,sequence
8,ff,hash-like,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,4.408875,3.23325,0.3321249969303608,0.828542,2,fixed,48
8,ff,hash-like,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,3.108625,1.857667,0.36150001687929034,0.851792,2,fixed,48
8,ff,hash-like,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,3.000375,1.589708,0.5613333196379244,0.891708,2,fixed,48
8,ff,hash-like,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,2.685625,1.279333,0.29854162130504847,0.878667,2,fixed,48
8,kv-fixed16,hash-like,262144,262144,0,-1,9035616,9035696,18005776,524288,8388608,15.70625,15.602834,2.6044166879728436,-1.0,2,kv,49
8,kv-fixed16,hash-like,262144,262144,0,0,9035616,9035696,18005776,524288,8388608,8.012542,7.888708,2.5485416990704834,-1.0,2,kv,49
8,kv-fixed16,hash-like,262144,262144,0,1,9035616,9035696,18005776,524288,8388608,9.668083,9.549667,2.9871249571442604,-1.0,2,kv,49
8,kv-fixed16,hash-like,262144,262144,0,2,9035616,9035696,18005776,524288,8388608,9.405792,9.299041,3.8731666863895953,-1.0,2,kv,49
9,kv-variable,hash-like,4096,4096,0,-1,1130408,1130760,2259808,8192,2096697,8.893542,8.803042,1.2839166447520256,-1.0,2,kv,50
9,kv-variable,hash-like,4096,4096,0,0,1130408,1130760,2259808,8192,2096697,7.661208,7.594,1.6399166779592633,-1.0,2,kv,50
9,kv-variable,hash-like,4096,4096,0,1,1130408,1130760,2259808,8192,2096697,3.252875,3.207125,1.1740833870135248,-1.0,2,kv,50
9,kv-variable,hash-like,4096,4096,0,2,1130408,1130760,2259808,8192,2096697,3.661333,3.602584,1.0296250111423433,-1.0,2,kv,50
9,fv,hash-like,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,2.954666,2.6255,0.42208336526528,0.111792,2,fixed,51
9,fv,hash-like,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,3.997666,3.575125,0.43050001841038465,0.131166,2,fixed,51
9,fv,hash-like,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,4.386792,4.031792,0.4173333290964365,0.1215,2,fixed,51
9,fv,hash-like,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,2.76625,2.369042,0.2116249524988234,0.118375,2,fixed,51
10,fv,hash-like,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,8.608792,5.16375,0.8768750121816993,2.953084,2,fixed,52
10,fv,hash-like,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,6.039292,2.914417,0.9848334011621773,2.278625,2,fixed,52
10,fv,hash-like,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,7.751625,4.444625,0.9667082922533154,2.550209,2,fixed,52
10,fv,hash-like,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,5.689917,2.308167,0.7377082947641611,2.52,2,fixed,52
10,kv-variable,hash-like,65536,65536,0,-1,18055296,18056040,36094904,131072,33554202,18.13525,17.954,1.9086666288785636,-1.0,2,kv,53
10,kv-variable,hash-like,65536,65536,0,0,18055296,18056040,36094904,131072,33554202,11.044834,10.872542,1.6448750393465161,-1.0,2,kv,53
10,kv-variable,hash-like,65536,65536,0,1,18055296,18056040,36094904,131072,33554202,8.089875,7.947709,1.675124978646636,-1.0,2,kv,53
10,kv-variable,hash-like,65536,65536,0,2,18055296,18056040,36094904,131072,33554202,11.975375,11.798291,2.4042916484177113,-1.0,2,kv,53
11,kv-variable,hash-like,131072,131072,0,-1,36094336,36094632,72156216,262144,67107712,30.852375,30.575583,3.4614166943356395,-1.0,2,kv,54
11,kv-variable,hash-like,131072,131072,0,0,36094336,36094632,72156216,262144,67107712,14.57275,14.254041,3.071000101044774,-1.0,2,kv,54
11,kv-variable,hash-like,131072,131072,0,1,36094336,36094632,72156216,262144,67107712,15.40925,15.1615,4.009375057648867,-1.0,2,kv,54
11,kv-variable,hash-like,131072,131072,0,2,36094336,36094632,72156216,262144,67107712,17.646708,17.401375,4.164083395153284,-1.0,2,kv,54
11,fv,hash-like,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,14.709292,8.90975,2.2961250506341457,5.025583,2,fixed,55
11,fv,hash-like,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,12.939375,6.603875,1.598416652996093,5.173708,2,fixed,55
11,fv,hash-like,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,11.757375,5.025333,1.6573332832194865,5.061,2,fixed,55
11,fv,hash-like,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,12.366792,6.552166,1.4914583298377693,4.743708,2,fixed,55
0,ff,structured,4096,4096,0,-1,131328,131328,262400,8192,131072,3.468333,3.220875,0.08450006134808064,0.014875,2,fixed,56
0,ff,structured,4096,4096,0,0,131328,131328,262400,8192,131072,2.068667,1.889459,0.08862500544637442,0.016125,2,fixed,56
0,ff,structured,4096,4096,0,1,131328,131328,262400,8192,131072,0.609292,0.463292,0.0794166699051857,0.014125,2,fixed,56
0,ff,structured,4096,4096,0,2,131328,131328,262400,8192,131072,0.962459,0.845375,0.0813750084489584,0.013208,2,fixed,56
0,kv-fixed16,structured,4096,4096,0,-1,77928,77928,152888,8192,131072,7.413167,7.365625,0.9228333365172148,-1.0,2,kv,57
0,kv-fixed16,structured,4096,4096,0,0,77928,77928,152888,8192,131072,2.721458,2.684667,0.9671250591054559,-1.0,2,kv,57
0,kv-fixed16,structured,4096,4096,0,1,77928,77928,152888,8192,131072,4.00975,3.976042,0.9070833912119269,-1.0,2,kv,57
0,kv-fixed16,structured,4096,4096,0,2,77928,77928,152888,8192,131072,2.850375,2.80075,0.9500834275968373,-1.0,2,kv,57
1,kv-fixed16,structured,65536,65536,0,-1,1241632,1241632,2441152,131072,2097152,10.690792,10.630084,2.2568333661183715,-1.0,2,kv,58
1,kv-fixed16,structured,65536,65536,0,0,1241632,1241632,2441152,131072,2097152,5.988875,5.886083,2.622875093948096,-1.0,2,kv,58
1,kv-fixed16,structured,65536,65536,0,1,1241632,1241632,2441152,131072,2097152,5.945167,5.893375,2.7626249939203262,-1.0,2,kv,58
1,kv-fixed16,structured,65536,65536,0,2,1241632,1241632,2441152,131072,2097152,6.724042,6.655,3.5209166817367077,-1.0,2,kv,58
1,ff,structured,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,3.004416,2.601209,0.12479163706302643,0.204458,2,fixed,59
1,ff,structured,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,2.419084,1.957166,0.12212496949359775,0.228667,2,fixed,59
1,ff,structured,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,1.688041,1.243875,0.12649997370317578,0.213042,2,fixed,59
1,ff,structured,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,1.733708,1.327083,0.26370829436928034,0.21,2,fixed,59
2,ff,structured,262144,262144,0,-1,8388864,8388864,16777472,524288,8388608,4.87025,3.556709,0.6540416507050395,0.999,2,fixed,60
2,ff,structured,262144,262144,0,0,8388864,8388864,16777472,524288,8388608,3.909208,2.225458,0.8918749517761171,1.156625,2,fixed,60
2,ff,structured,262144,262144,0,1,8388864,8388864,16777472,524288,8388608,3.176458,1.889583,0.5457916995510459,0.8545,2,fixed,60
2,ff,structured,262144,262144,0,2,8388864,8388864,16777472,524288,8388608,3.061625,1.571417,0.5367916310206056,0.886709,2,fixed,60
2,kv-fixed16,structured,262144,262144,0,-1,4965464,4965464,9763608,524288,8388608,22.981,22.889125,10.063791705761105,-1.0,2,kv,61
2,kv-fixed16,structured,262144,262144,0,0,4965464,4965464,9763608,524288,8388608,16.067625,15.997375,10.572083294391632,-1.0,2,kv,61
2,kv-fixed16,structured,262144,262144,0,1,4965464,4965464,9763608,524288,8388608,13.410042,13.34275,8.833375002723187,-1.0,2,kv,61
2,kv-fixed16,structured,262144,262144,0,2,4965464,4965464,9763608,524288,8388608,17.815458,17.7265,10.202750039752573,-1.0,2,kv,61
3,kv-variable,structured,4096,4096,0,-1,1063912,1064280,2125240,8192,2096697,10.030667,9.961042,2.656875003594905,-1.0,2,kv,62
3,kv-variable,structured,4096,4096,0,0,1063912,1064280,2125240,8192,2096697,6.274458,6.198292,2.9532500193454325,-1.0,2,kv,62
3,kv-variable,structured,4096,4096,0,1,1063912,1064280,2125240,8192,2096697,3.645208,3.586375,1.3552082818932831,-1.0,2,kv,62
3,kv-variable,structured,4096,4096,0,2,1063912,1064280,2125240,8192,2096697,3.512709,3.452042,1.3230416807346046,-1.0,2,kv,62
3,fv,structured,4096,4096,0,-1,1119360,1119728,2238808,8192,2096697,3.121291,2.749167,0.40704163257032633,0.129083,2,fixed,63
3,fv,structured,4096,4096,0,0,1119360,1119728,2238808,8192,2096697,1.645709,1.213708,0.46062504407018423,0.159334,2,fixed,63
3,fv,structured,4096,4096,0,1,1119360,1119728,2238808,8192,2096697,2.093917,1.714375,0.7432500133290887,0.14675,2,fixed,63
3,fv,structured,4096,4096,0,2,1119360,1119728,2238808,8192,2096697,2.242083,1.892792,0.8914583013392985,0.165167,2,fixed,63
4,fv,structured,65536,65536,0,-1,17911656,17912304,35823672,131072,33554202,9.520625,6.415292,1.3467083335854113,2.500958,2,fixed,64
4,fv,structured,65536,65536,0,0,17911656,17912304,35823672,131072,33554202,7.206083,4.113083,1.5077499556355178,2.165708,2,fixed,64
4,fv,structured,65536,65536,0,1,17911656,17912304,35823672,131072,33554202,6.471375,3.204459,0.9854167001321912,2.490834,2,fixed,64
4,fv,structured,65536,65536,0,2,17911656,17912304,35823672,131072,33554202,5.504958,2.301,0.7816250436007977,2.415583,2,fixed,64
4,kv-variable,structured,65536,65536,0,-1,17023440,17024088,34005736,131072,33554202,20.272167,20.08475,4.086333326995373,-1.0,2,kv,65
4,kv-variable,structured,65536,65536,0,0,17023440,17024088,34005736,131072,33554202,12.157334,11.993917,2.8815832920372486,-1.0,2,kv,65
4,kv-variable,structured,65536,65536,0,1,17023440,17024088,34005736,131072,33554202,8.096917,7.946875,2.197874942794442,-1.0,2,kv,65
4,kv-variable,structured,65536,65536,0,2,17023440,17024088,34005736,131072,33554202,12.811167,12.635959,2.328916627448052,-1.0,2,kv,65
5,kv-variable,structured,131072,131072,0,-1,34046688,34046952,68010440,262144,67107712,38.726084,38.412792,10.419166646897793,-1.0,2,kv,66
5,kv-variable,structured,131072,131072,0,0,34046688,34046952,68010440,262144,67107712,17.622625,17.302375,5.023874982725829,-1.0,2,kv,66
5,kv-variable,structured,131072,131072,0,1,34046688,34046952,68010440,262144,67107712,18.601958,18.330708,6.421583355404437,-1.0,2,kv,66
5,kv-variable,structured,131072,131072,0,2,34046688,34046952,68010440,262144,67107712,16.99775,16.662959,5.952000094112009,-1.0,2,kv,66
5,fv,structured,131072,131072,0,-1,35823192,35823456,71646360,262144,67107712,14.290709,8.559917,2.454083354678005,5.041625,2,fixed,67
5,fv,structured,131072,131072,0,0,35823192,35823456,71646360,262144,67107712,12.761042,7.001708,2.627875015605241,4.670083,2,fixed,67
5,fv,structured,131072,131072,0,1,35823192,35823456,71646360,262144,67107712,11.932625,5.961709,1.8020833376795053,4.769583,2,fixed,67
5,fv,structured,131072,131072,0,2,35823192,35823456,71646360,262144,67107712,12.036208,5.667916,2.328749920707196,5.026167,2,fixed,67
6,ff,hash-like,4096,4096,0,-1,131328,131328,262400,8192,131072,4.1235,3.851042,0.6149999680928886,0.017,2,fixed,68
6,ff,hash-like,4096,4096,0,0,131328,131328,262400,8192,131072,2.695375,2.442625,0.06991671398282051,0.016,2,fixed,68
6,ff,hash-like,4096,4096,0,1,131328,131328,262400,8192,131072,2.109458,1.923375,0.5464166752062738,0.020417,2,fixed,68
6,ff,hash-like,4096,4096,0,2,131328,131328,262400,8192,131072,0.687875,0.514625,0.07895834278315306,0.015125,2,fixed,68
6,kv-fixed16,hash-like,4096,4096,0,-1,144544,144536,287712,8192,131072,7.679083,7.62725,0.6648332928307354,-1.0,2,kv,69
6,kv-fixed16,hash-like,4096,4096,0,0,144544,144536,287712,8192,131072,4.418958,4.378209,1.006250036880374,-1.0,2,kv,69
6,kv-fixed16,hash-like,4096,4096,0,1,144544,144536,287712,8192,131072,6.564333,6.488541,1.2826666934415698,-1.0,2,kv,69
6,kv-fixed16,hash-like,4096,4096,0,2,144544,144536,287712,8192,131072,1.888875,1.844417,0.5932917119935155,-1.0,2,kv,69
7,kv-fixed16,hash-like,65536,65536,0,-1,2275344,2275440,4534352,131072,2097152,13.650666,13.5785,1.641874958295375,-1.0,2,kv,70
7,kv-fixed16,hash-like,65536,65536,0,0,2275344,2275440,4534352,131072,2097152,4.205292,4.14,1.6450416296720505,-1.0,2,kv,70
7,kv-fixed16,hash-like,65536,65536,0,1,2275344,2275440,4534352,131072,2097152,5.755833,5.6875,1.5363332349807024,-1.0,2,kv,70
7,kv-fixed16,hash-like,65536,65536,0,2,2275344,2275440,4534352,131072,2097152,8.451083,8.366375,2.1392916096374393,-1.0,2,kv,70
7,ff,hash-like,65536,65536,0,-1,2097408,2097408,4194560,131072,2097152,4.014708,3.504875,0.16083335503935814,0.222583,2,fixed,71
7,ff,hash-like,65536,65536,0,0,2097408,2097408,4194560,131072,2097152,2.408833,1.792958,0.13154163025319576,0.279833,2,fixed,71
7,ff,hash-like,65536,65536,0,1,2097408,2097408,4194560,131072,2097152,3.135458,2.636542,0.9710416779853404,0.233,2,fixed,71
7,ff,hash-like,65536,65536,0,2,2097408,2097408,4194560,131072,2097152,1.792708,1.266833,0.11579168494790792,0.233541,2,fixed,71
