fixture,records,family,byte_total,bit_total,byte_native,bit_native,byte_index,bit_index,total_delta_percent,native_delta_percent,index_delta_percent,extra_bytes_per_record
integer-random-fixed,8192,raw,158448,161832,141576,144912,16872,16920,-2.091057392851847,-2.3020867837032166,-0.28368794326241176,-0.4130859375
integer-random-fixed,8192,typed,158472,151344,141592,134416,16880,16928,4.709800190294966,5.338650160695146,-0.2835538752362976,0.8701171875
integer-random-fixed,8192,typed-known,158472,151344,141592,134416,16880,16928,4.709800190294966,5.338650160695146,-0.2835538752362976,0.8701171875
integer-random-fixed,32768,raw,615904,625808,559600,568504,56304,57304,-1.5825940224477808,-1.5662158929400705,-1.7450788775652648,-0.30224609375
integer-random-fixed,32768,typed,615904,590968,559600,533664,56304,57304,4.219517808070816,4.85998680817894,-1.7450788775652648,0.760986328125
integer-random-fixed,32768,typed-known,615904,590968,559600,533664,56304,57304,4.219517808070816,4.85998680817894,-1.7450788775652648,0.760986328125
integer-random-fixed,131072,raw,2429480,2456848,2215496,2238824,213984,218024,-1.1139476272036375,-1.0419756086231025,-1.8530070084027406,-0.20880126953125
integer-random-fixed,131072,typed,2429488,2348632,2215504,2130608,213984,218024,3.442684933186646,3.9845903141263017,-1.8530070084027406,0.61688232421875
integer-random-fixed,131072,typed-known,2429488,2348632,2215504,2130608,213984,218024,3.442684933186646,3.9845903141263017,-1.8530070084027406,0.61688232421875
integer-random-variable,1024,raw,277256,278424,272936,274064,4320,4360,-0.4195040657414606,-0.41158269601261344,-0.917431192660545,-1.140625
integer-random-variable,1024,typed,279792,276264,275464,271896,4328,4368,1.2770393536617242,1.312266454820965,-0.9157509157509125,3.4453125
integer-random-variable,1024,typed-known,279792,276264,275464,271896,4328,4368,1.2770393536617242,1.312266454820965,-0.9157509157509125,3.4453125
integer-random-variable,8192,raw,2201848,2212440,2184976,2195520,16872,16920,-0.4787474462584318,-0.4802506923189065,-0.28368794326241176,-1.29296875
integer-random-variable,8192,typed,2222168,2195856,2205288,2178928,16880,16928,1.1982570806100323,1.2097692076103561,-0.2835538752362976,3.2119140625
integer-random-variable,8192,typed-known,2222168,2195856,2205288,2178928,16880,16928,1.1982570806100323,1.2097692076103561,-0.2835538752362976,3.2119140625
integer-random-variable,32768,raw,8798960,8837608,8742656,8780304,56304,57304,-0.43731290186213023,-0.4287778646388518,-1.7450788775652648,-1.179443359375
integer-random-variable,32768,typed,8880168,8778400,8823864,8721096,56304,57304,1.1593001002460523,1.1783840012768998,-1.7450788775652648,3.105712890625
integer-random-variable,32768,typed-known,8880168,8778400,8823864,8721096,56304,57304,1.1593001002460523,1.1783840012768998,-1.7450788775652648,3.105712890625
integer-random-variable,131072,raw,35161800,35303848,34947816,35085824,213984,218024,-0.4023584058032381,-0.39334404687203506,-1.8530070084027406,-1.083740234375
integer-random-variable,131072,typed,35486496,35098192,35272512,34880168,213984,218024,1.1063361896248125,1.1248340317626893,-1.8530070084027406,2.9625244140625
integer-random-variable,131072,typed-known,35486496,35098192,35272512,34880168,213984,218024,1.1063361896248125,1.1248340317626893,-1.8530070084027406,2.9625244140625
string-binary-fixed,1024,raw,40456,41272,35528,36264,4928,5008,-1.977127350261676,-2.0295609971321404,-1.5974440894568676,-0.796875
string-binary-fixed,1024,typed,42528,42888,37592,37880,4936,5008,-0.8393956351426923,-0.7602956705385466,-1.4376996805111841,-0.3515625
string-binary-fixed,1024,typed-known,41496,42888,36560,37880,4936,5008,-3.2456631225517674,-3.484688489968324,-1.4376996805111841,-1.359375
string-binary-fixed,8192,raw,294288,301936,272712,280024,21576,21912,-2.53298712309894,-2.611204753878238,-1.533406352683464,-0.93359375
string-binary-fixed,8192,typed,310760,312512,289176,290600,21584,21912,-0.5606184722506624,-0.49002064693737246,-1.4968966776195747,-0.2138671875
string-binary-fixed,8192,typed-known,302504,312512,280920,290600,21584,21912,-3.202437026418181,-3.33103922918101,-1.4968966776195747,-1.2216796875
string-binary-fixed,32768,raw,1159200,1186120,1084144,1108912,75056,77208,-2.2695848649377792,-2.233540623602237,-2.787275929955446,-0.821533203125
string-binary-fixed,32768,typed,1225040,1227472,1149984,1150264,75056,77208,-0.1981307923928255,-0.02434223795581003,-2.787275929955446,-0.07421875
string-binary-fixed,32768,typed-known,1191968,1227472,1116912,1150264,75056,77208,-2.8924488705241336,-2.8995082867932953,-2.787275929955446,-1.08349609375
string-binary-fixed,131072,raw,4602648,4697944,4313672,4400392,288976,297552,-2.0284618122310527,-1.970733516468537,-2.8821852987040875,-0.72705078125
string-binary-fixed,131072,typed,4865936,4862688,4576960,4565136,288976,297552,0.06679433268184098,0.259006522478189,-2.8821852987040875,0.0247802734375
string-binary-fixed,131072,typed-known,4733728,4862688,4444752,4565136,288976,297552,-2.65203113997855,-2.6370298716182794,-2.8821852987040875,-0.98388671875
string-binary-variable,1024,raw,286056,287752,281128,282744,4928,5008,-0.5893964246990513,-0.5715417480123386,-1.5974440894568676,-1.65625
string-binary-variable,1024,typed,287088,287456,282152,282448,4936,5008,-0.12801959256373285,-0.10479805132271869,-1.4376996805111841,-0.359375
string-binary-variable,1024,typed-known,287088,287456,282152,282448,4936,5008,-0.12801959256373285,-0.10479805132271869,-1.4376996805111841,-0.359375
string-binary-variable,8192,raw,2272088,2286936,2250512,2265024,21576,21912,-0.6492529742852415,-0.6406996128959341,-1.533406352683464,-1.8125
string-binary-variable,8192,typed,2280312,2282208,2258728,2260296,21584,21912,-0.083077440794177,-0.06937144515585247,-1.4968966776195747,-0.2314453125
string-binary-variable,8192,typed-known,2280312,2282208,2258728,2260296,21584,21912,-0.083077440794177,-0.06937144515585247,-1.4968966776195747,-0.2314453125
string-binary-variable,32768,raw,9079864,9135512,9004808,9058304,75056,77208,-0.6091393673392398,-0.590574129550081,-2.787275929955446,-1.6982421875
string-binary-variable,32768,typed,9112704,9115608,9037648,9038400,75056,77208,-0.031857447139016504,-0.008320056647193041,-2.787275929955446,-0.088623046875
string-binary-variable,32768,typed-known,9112704,9115608,9037648,9038400,75056,77208,-0.031857447139016504,-0.008320056647193041,-2.787275929955446,-0.088623046875
string-binary-variable,131072,raw,36285424,36495344,35996448,36197792,288976,297552,-0.5751966607028036,-0.5562328221566659,-2.8821852987040875,-1.6015625
string-binary-variable,131072,typed,36416792,36415072,36127816,36117520,288976,297552,0.004723318959798384,0.02850694067588755,-2.8821852987040875,0.01312255859375
string-binary-variable,131072,typed-known,36416792,36415072,36127816,36117520,288976,297552,0.004723318959798384,0.02850694067588755,-2.8821852987040875,0.01312255859375
string-prefix-fixed,1024,raw,25000,23584,20968,19608,4032,3976,6.00407055630936,6.935944512443903,1.4084507042253502,1.3828125
string-prefix-fixed,1024,typed,27080,25208,23048,21232,4032,3976,7.426213900349099,8.553127354935942,1.4084507042253502,1.828125
string-prefix-fixed,1024,typed-known,26024,25208,21992,21232,4032,3976,3.2370675975880614,3.5795026375282646,1.4084507042253502,0.796875
string-prefix-fixed,8192,raw,173808,162576,160000,149120,13808,13456,6.908768821966338,7.296137339055786,2.6159334126040434,1.37109375
string-prefix-fixed,8192,typed,190392,173200,176576,159744,13816,13456,9.926096997690536,10.536858974358964,2.675386444708683,2.0986328125
string-prefix-fixed,8192,typed-known,182008,173200,168192,159744,13816,13456,5.085450346420317,5.288461538461542,2.675386444708683,1.0751953125
string-prefix-fixed,32768,raw,681864,636880,636792,593256,45072,43624,7.063183017208896,7.33848456652777,3.319273794241706,1.372802734375
string-prefix-fixed,32768,typed,748144,678328,703072,634704,45072,43624,10.292365935063863,10.771635281958215,3.319273794241706,2.130615234375
string-prefix-fixed,32768,typed-known,714632,678328,669560,634704,45072,43624,5.351983111415137,5.4916937659129195,3.319273794241706,1.10791015625
string-prefix-fixed,131072,raw,2715032,2535056,2543952,2369768,171080,165288,7.099488137540155,7.350255383649373,3.5041866318183956,1.37310791015625
string-prefix-fixed,131072,typed,2980136,2699880,2809048,2534592,171088,165288,10.380313199105151,10.82840946392949,3.5090266686026883,2.13818359375
string-prefix-fixed,131072,typed-known,2846112,2699880,2675024,2534592,171088,165288,5.416240721809862,5.540615609928534,3.5090266686026883,1.11566162109375
string-prefix-variable,1024,raw,270608,270104,266576,266128,4032,3976,0.18659479311673444,0.1683400468947216,1.4084507042253502,0.4921875
string-prefix-variable,1024,typed,271648,269808,267616,265832,4032,3976,0.6819664353910904,0.6711005447049168,1.4084507042253502,1.796875
string-prefix-variable,1024,typed-known,271648,269808,267616,265832,4032,3976,0.6819664353910904,0.6711005447049168,1.4084507042253502,1.796875
string-prefix-variable,8192,raw,2151768,2147800,2137960,2134344,13808,13456,0.18474718316416894,0.16941973739941218,2.6159334126040434,0.484375
